time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,shoulder_meas_pos,shoulder_meas_vel,elbow_meas_pos,elbow_meas_vel,elbow_meas_torque
0.000000000000000000e+00,-6.315619999999999568e-01,-6.336429999999999563e-01,0.000000000000000000e+00,1.007775477797903004e+05,-1.872708999999999957e+00,1.456501999999999963e+00,0.000000000000000000e+00,7.554023305199373863e+04,3.565419984110916944e-14,-6.315619999999999568e-01,-6.336429999999999563e-01,-1.872708999999999957e+00,1.456501999999999963e+00,0.000000000000000000e+00
1.000983908883854457e-03,-6.321834688713612316e-01,-6.083982748886880287e-01,2.522138119826544411e+01,3.332853322643969829e+00,-1.871242972386014447e+00,1.475309582964339894e+00,1.856000973779973151e+01,-4.389014914756915573e+02,-5.246304723451511616e-03,-6.321833859828721591e-01,-6.083379695478848825e-01,-1.871241987547699770e+00,1.474462069750347215e+00,-4.281436639427106325e-03
2.001967817767708914e-03,-6.327793536157344523e-01,-5.831506063498353987e-01,2.522412419060177413e+01,2.937992110833684389e+00,-1.869760953830345240e+00,1.493664066615846497e+00,1.810897397887375249e+01,-4.354442912345796231e+02,-1.049260944693867527e-02,-6.327803252452470772e-01,-5.831204240735371469e-01,-1.869756994868207123e+00,1.493443729248368435e+00,-2.464602458213723131e-04
3.002951726651563371e-03,-6.333496707694831196e-01,-5.579003898991703458e-01,2.522647205287922390e+01,1.753116820313356472e+00,-1.868263235566652858e+00,1.511568746020256704e+00,1.766122884866409137e+01,-4.591657544132438602e+02,-1.573891417042583979e-02,-6.333502856464804376e-01,-5.579130004389214470e-01,-1.868251795724708675e+00,1.512232032633933354e+00,-1.933373016988832599e-03
4.003935635535417828e-03,-6.338944368689714004e-01,-5.326480210524205949e-01,2.522842478509961950e+01,2.148325411089480941e+00,-1.866750108828594712e+00,1.529026916243308110e+00,1.721677427030247998e+01,-4.285074101716350583e+02,-2.098521889391300951e-02,-6.338967697290154302e-01,-5.327136287774985046e-01,-1.866729319311535074e+00,1.530827823894982620e+00,-3.929065802028869347e-03
5.004919544419271851e-03,-6.344136684505627954e-01,-5.073938953253142037e-01,2.522998238726434295e+01,1.753519904384113870e+00,-1.865221864849831546e+00,1.546041872350736757e+00,1.677561016024802143e+01,-4.250267396939857463e+02,-2.623152361740016883e-02,-6.344175833659484454e-01,-5.075223865963714998e-01,-1.865187695901414866e+00,1.549187916274438637e+00,-6.692331961621607143e-03
6.005903453303126742e-03,-6.349073820506214716e-01,-4.821384082335790078e-01,2.523114485937459150e+01,5.691390313519655297e-01,-1.863678794864022326e+00,1.562616909408280685e+00,1.633773642754700361e+01,-4.498599169542070513e+02,-3.147782834088733162e-02,-6.349128018171871224e-01,-4.823370235708837606e-01,-1.863627954117264007e+00,1.567267550180718505e+00,-9.871143059803848263e-03
7.006887362186981633e-03,-6.353755942055111516e-01,-4.568819552929428984e-01,2.523191220143122138e+01,9.639645453130990527e-01,-1.862121190104826463e+00,1.578755322481677048e+00,1.590315297299239639e+01,-4.180381252164233388e+02,-3.672413306437449787e-02,-6.353831378491114901e-01,-4.571567225076111907e-01,-1.862050157886026680e+00,1.585048925759184435e+00,-1.341410584501270473e-02
8.007871271070835656e-03,-6.358183214515960024e-01,-4.316249320191338223e-01,2.523228441343471573e+01,5.692146851217244619e-01,-1.860549341805903145e+00,1.594460406636661887e+00,1.547185968816983603e+01,-4.145288977242203146e+02,-4.197043778786167106e-02,-6.358281873435416287e-01,-4.319799412260978411e-01,-1.860454762503136239e+00,1.602492577724897949e+00,-1.760946344188530840e-02
9.008855179954689679e-03,-6.362355803252394137e-01,-4.063677339278798373e-01,2.523226149538536589e+01,1.744833703779117562e-01,-1.858963541200912450e+00,1.609735456938973241e+00,1.504385645436281216e+01,-4.110087652432671916e+02,-4.721674251134883732e-02,-6.362477707194446053e-01,-4.068056210472916767e-01,-1.858842158721620841e+00,1.619569734095761104e+00,-2.205790476302659647e-02
