time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,shoulder_torque,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,elbow_torque_tvlqr,K1,K2,K3,K4,k0
0.000000000000000000e+00,5.065880000000000383e-01,-6.347770000000000357e-01,0.000000000000000000e+00,-7.307295739178238728e+04,0.000000000000000000e+00,2.215850999999999793e+00,4.677686999999999706e+00,0.000000000000000000e+00,-1.028281440536737937e+05,-3.709003696164923289e-14,-8.531894571422483919e-03,-2.234721909985361854e-01,1.721085503011539952e+00,5.493064782918645472e-02,4.670905853952951325e-01,8.531894571385393797e-03
1.000668179860400358e-03,5.059422464582967738e-01,-6.530845747746409913e-01,-1.832515893518912975e+01,-6.148418626571553602e+01,0.000000000000000000e+00,2.220519115120214604e+00,4.651972073422299125e+00,-2.564484169003639380e+01,1.050816569764185715e+02,1.405103569578950405e-03,-7.026293206020392014e-03,-2.269443391400661203e-01,1.725755962048159731e+00,5.586504104617599775e-02,4.671725219618987346e-01,8.702615169026987202e-03
2.001336359720800716e-03,5.052754231604899005e-01,-6.714519042333912946e-01,-1.838411441723639683e+01,-5.994598308501919348e+01,0.000000000000000000e+00,2.225161896398956340e+00,4.626362828278153039e+00,-2.553932751998027939e+01,1.048879967089935690e+02,2.810207139194990933e-03,-5.496050282567549808e-03,-2.303374344526274431e-01,1.730469508747596308e+00,5.680374300383449204e-02,4.672523534599096751e-01,8.835747127393246692e-03
3.002004539581200858e-03,5.045875826619127258e-01,-6.898774635559820068e-01,-1.844154601402535931e+01,-5.840827575502295588e+01,0.000000000000000000e+00,2.229779435322111425e+00,4.600859070946350826e+00,-2.543400684152712898e+01,1.046943345299754213e+02,4.215310708811032328e-03,-3.965807359114706734e-03,-2.336766987120266204e-01,1.735232645131238094e+00,5.773956471268649332e-02,4.673296263732729106e-01,8.954463644926849084e-03
4.002672719441601433e-03,5.038787775178977801e-01,-7.083597279221433007e-01,-1.849745372695202050e+01,-5.687105601926998588e+01,0.000000000000000000e+00,2.234371823375566279e+00,4.575460607805684532e+00,-2.532887965467322289e+01,1.045006704115200904e+02,5.620414278427071988e-03,-2.453562407567542493e-03,-2.369613550136309144e-01,1.740044499604607386e+00,5.867240699559549827e-02,4.674043673652952813e-01,9.060209681195070461e-03
5.003340899302002008e-03,5.031490602837777049e-01,-7.268971725116054605e-01,-1.855183755735574991e+01,-5.533431596169902633e+01,0.000000000000000000e+00,2.238939152045208214e+00,4.550167245234945312e+00,-2.522394595941481654e+01,1.043070043514457268e+02,7.025517848043112516e-03,-9.432713419698646184e-04,-2.401907040968006279e-01,1.744904152632874794e+00,5.960215335307204876e-02,4.674766004393044461e-01,9.153391236440086565e-03
6.004009079162401716e-03,5.023984835148860295e-01,-7.454882725040993252e-01,-1.860469750652017851e+01,-5.379804798954386769e+01,0.000000000000000000e+00,2.243481512816921430e+00,4.524978789612926988e+00,-2.511920575575033965e+01,1.041133363049377181e+02,8.430621417659153044e-03,5.670197236278115213e-04,-2.433652072222851070e-01,1.749811000525228755e+00,6.052870907237678511e-02,4.675464082339817473e-01,9.234456844760858749e-03
7.004677259022802291e-03,5.016270997665551734e-01,-7.641315030793551788e-01,-1.865603357567520248e+01,-5.226224483241968954e+01,0.000000000000000000e+00,2.247998997176595459e+00,4.499895047318418051e+00,-2.501465904367635318e+01,1.039196662889230680e+02,9.835724987275194439e-03,2.077310789225489396e-03,-2.464853315169948100e-01,1.754764451088785870e+00,6.145197834924370772e-02,4.676138739369168906e-01,9.303858155008996877e-03
8.005345438883202866e-03,5.008349615941181110e-01,-7.828253394171035273e-01,-1.870584576599926763e+01,-5.072689952526646096e+01,0.000000000000000000e+00,2.252491696610113614e+00,4.474915824730213210e+00,-2.491030582318952469e+01,1.037259942550589074e+02,1.124082855689123410e-02,3.587601854823167270e-03,-2.495498811243501980e-01,1.759763469173666772e+00,6.237181937409568000e-02,4.676789986820762968e-01,9.361963063649230907e-03
9.006013618743603441e-03,5.000221215529077057e-01,-8.015682566970748768e-01,-1.875413407862057724e+01,-4.919200540045386560e+01,0.000000000000000000e+00,2.256959702603364093e+00,4.450040928227101844e+00,-2.480614609428860717e+01,1.035323201989433528e+02,1.264593212650727549e-02,5.084266876453046903e-03,-2.525583082186500516e-01,1.764807082200284816e+00,6.328812655120107100e-02,4.677418103567853591e-01,9.409142539654895970e-03
1.000668179860400402e-02,4.991886321982568209e-01,-8.203587300989997333e-01,-1.880089851461857720e+01,-4.765755607707126984e+01,0.000000000000000000e+00,2.261403106642233762e+00,4.425270164187875110e+00,-2.470217985696832130e+01,1.033386441101245481e+02,1.405103569612331516e-02,6.579197327399748108e-03,-2.555111202093496292e-01,1.769894641422870896e+00,6.420081223941971615e-02,4.678023871296274616e-01,9.445811020509604569e-03
1.100734997846440459e-02,4.983345460854983200e-01,-8.391952348026082698e-01,-1.884613907502600583e+01,-4.612354545755700030e+01,0.000000000000000000e+00,2.265822000212608156e+00,4.400603338991326829e+00,-2.459840711122607360e+01,1.031449659530425293e+02,1.545613926573935655e-02,8.074127778346448445e-03,-2.584085573530241486e-01,1.775025442248251206e+00,6.510977716167333507e-02,4.678607956165514725e-01,9.472371926157626548e-03
1.200801815832480343e-02,4.974599157699651775e-01,-8.580762459876312143e-01,-1.888985576082997753e+01,-4.458996771076599686e+01,0.000000000000000000e+00,2.270216474800372808e+00,4.376040259016247269e+00,-2.449482785706003440e+01,1.029512857175475347e+02,1.686124283535539448e-02,9.569058229293147047e-03,-2.612491641776658047e-01,1.780198277574101429e+00,6.601487404242774304e-02,4.679170261710474676e-01,9.489145497530496881e-03
1.300868633818520401e-02,4.965647938069902567e-01,-8.770002388337990729e-01,-1.893204857297282118e+01,-4.305681726880582261e+01,0.000000000000000000e+00,2.274586621891415472e+00,4.351580730641427586e+00,-2.439144209446573086e+01,1.027576033893904963e+02,1.826634640497144108e-02,1.106398868023984738e-02,-2.640330666599772780e-01,1.785412313864656486e+00,6.691601451968351433e-02,4.679711339018255978e-01,9.496502832956405654e-03
1.400935451804560458e-02,4.956492327519061436e-01,-8.959656885208419075e-01,-1.897271751235464876e+01,-4.152408882680273905e+01,0.000000000000000000e+00,2.278932532971622571e+00,4.327224560245660712e+00,-2.428824982344004724e+01,1.025639189424259996e+02,1.967144997458748074e-02,1.255339136651247717e-02,-2.667607866376630610e-01,1.790666848927854105e+00,6.781311840437195815e-02,4.680231909414306890e-01,9.494831410379517278e-03
1.501002269790600516e-02,4.947132851600460901e-01,-9.149710702284910013e-01,-1.901186257983309602e+01,-3.999177731436544292e+01,0.000000000000000000e+00,2.283254299526880082e+00,4.302971554207737803e+00,-2.418525104398145231e+01,1.023702323508719445e+02,2.107655354420352387e-02,1.404198324478823055e-02,-2.694320957501470382e-01,1.795961002735513068e+00,6.870607241993575975e-02,4.680732408003004386e-01,9.484487553041251462e-03
1.601069087776640573e-02,4.937570035867429596e-01,-9.340148591364761943e-01,-1.904948377622507749e+01,-3.845987791834224367e+01,0.000000000000000000e+00,2.287552013043074428e+00,4.278821518906448240e+00,-2.408244575608494031e+01,1.021765436169301324e+02,2.248165711381956006e-02,1.553057512306398394e-02,-2.720458335700486341e-01,1.801293559312617143e+00,6.959474251337366413e-02,4.681212878768168384e-01,9.465773987368281128e-03
1.701135905762680631e-02,4.927804405873293381e-01,-9.530955304245282145e-01,-1.908558110230818272e+01,-3.692838604799002411e+01,0.000000000000000000e+00,2.291825765006091586e+00,4.254774260720586732e+00,-2.397983395974638654e+01,1.019828527032170058e+02,2.388676068343559972e-02,1.701916700133973906e-02,-2.746024762086755056e-01,1.806663740763645443e+00,7.047905309049522227e-02,4.681673956230473221e-01,9.439050698107626439e-03
1.801202723748720688e-02,4.917836487171384219e-01,-9.722115592723770128e-01,-1.912015455882144011e+01,-3.539729735449351722e+01,0.000000000000000000e+00,2.296075646901818867e+00,4.230829586028944433e+00,-2.387741565496550322e+01,1.017891595821131290e+02,2.529186425305163938e-02,1.850775887961549418e-02,-2.771025523873651975e-01,1.812070796006183038e+00,7.135892769161968074e-02,4.682116294685053082e-01,9.404679936453807718e-03
1.901269541734760746e-02,4.907666805315028524e-01,-9.913614208597536503e-01,-1.915320414646605229e+01,-3.386660769870238852e+01,0.000000000000000000e+00,2.300301750216142249e+00,4.206987301210309838e+00,-2.377519084173713892e+01,1.015954642616638353e+02,2.669696782266767904e-02,1.999653641378522015e-02,-2.795452007661201610e-01,1.817513618946073439e+00,7.223422793660902452e-02,4.682540097410198832e-01,9.362966402022127738e-03
2.001336359720800803e-02,4.897295885857554931e-01,-1.010543590366387967e+00,-1.918472986590693097e+01,-3.233631318029355128e+01,0.000000000000000000e+00,2.304504166434948598e+00,4.183247212643477653e+00,-2.367315952005700552e+01,1.014017666930075592e+02,2.810207139228371870e-02,2.148534490389321719e-02,-2.819300000284683527e-01,1.822991125625851305e+00,7.310485290061459474e-02,4.682945667800519352e-01,9.314208805411281974e-03
2.101403177706840861e-02,4.886724254352294294e-01,-1.029756542972011912e+00,-1.921473171777202893e+01,-3.080641008306309203e+01,0.000000000000000000e+00,2.308682987044124335e+00,4.159609126707238147e+00,-2.357132168992252730e+01,1.012080668757769502e+02,2.950717496189976530e-02,2.297415339400121770e-02,-2.842575024205182821e-01,1.828502521165666694e+00,7.397073337324761022e-02,4.683333601886273678e-01,9.258738120650264816e-03
2.201469995692880918e-02,4.875952436352574138e-01,-1.048998753856354105e+00,-1.924320970265480923e+01,-2.927689493767756446e+01,0.000000000000000000e+00,2.312838303529554551e+00,4.136072849780384253e+00,-2.346967735133069510e+01,1.010143647671657448e+02,3.091227853151580496e-02,2.446296188410921821e-02,-2.865280611297136848e-01,1.834046970895489848e+00,7.483178774937442046e-02,4.683704443762999881e-01,9.196878476223789914e-03
2.301536813678920976e-02,4.864980957411722540e-01,-1.068268698199146494e+00,-1.927016382111434822e+01,-2.774776443908234569e+01,0.000000000000000000e+00,2.316970207377127000e+00,4.112638188241705350e+00,-2.336822650427698989e+01,1.008206603762105829e+02,3.231738210113185156e-02,2.595177037421721872e-02,-2.887405589467923472e-01,1.839623222526628687e+00,7.568786817931982824e-02,4.684058339332187737e-01,9.128892442634813781e-03
2.401603631664960686e-02,4.853810343083068690e-01,-1.087564851180117920e+00,-1.929559407367620594e+01,-2.621901552438912120e+01,0.000000000000000000e+00,2.321078790072728104e+00,4.089304948469996148e+00,-2.326696914875828526e+01,1.006269536472795920e+02,3.372248567074788428e-02,2.744458033341078476e-02,-2.908951810867455579e-01,1.845230321935701134e+00,7.653889880715071536e-02,4.684395732853812166e-01,9.055073969925367741e-03
2.501670449651000744e-02,4.842441118919943444e-01,-1.106885687979000776e+00,-1.931950046083298034e+01,-2.469064528867104258e+01,0.000000000000000000e+00,2.325164143102242953e+00,4.066072936844045138e+00,-2.316590528477235722e+01,1.004332445805180072e+02,3.512758924036392394e-02,2.893814061447981881e-02,-2.929924885061905293e-01,1.850867435092513391e+00,7.738481762568681643e-02,4.684717160409639369e-01,8.975729722672022917e-03
2.601737267637040801e-02,4.830873810475672103e-01,-1.126229683775524348e+00,-1.934188298304339781e+01,-2.316265104594739554e+01,0.000000000000000000e+00,2.329226357951560189e+00,4.042941959742644364e+00,-2.306503491231283220e+01,1.002395331568025370e+02,3.653269280997995666e-02,3.043170089554885285e-02,-2.950324573296732034e-01,1.856533593473370658e+00,7.822552568052708322e-02,4.685023041309370195e-01,8.891146358961172363e-03
