time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,shoulder_meas_pos,shoulder_meas_vel,elbow_meas_pos,elbow_meas_vel,elbow_meas_torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.765277209351479542e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.028441040062173124e+04,3.613259624072682010e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000646755968507846e-03,1.909155804546873326e-06,4.388585325422089851e-03,4.325151883983019196e+00,-1.149286678612802319e+02,-4.869609348819387867e-06,-1.244319357623401186e-02,-1.214698713259872598e+01,5.253754101586931711e+02,2.884655742195724008e-03,2.211972201251734397e-06,4.410543447357726660e-03,-6.288217517394372725e-06,-1.254411032223579775e-02,9.014560517545297221e-04
2.001293511937015691e-03,7.575550979929237595e-06,8.657551159902545507e-03,4.205817650985236078e+00,-1.235855376482986117e+02,-1.919103388298988550e-05,-2.432274793899907861e-02,-1.158451180273434744e+01,5.988481512717709165e+02,5.769311484391085459e-03,8.833402519067527504e-06,8.832213626066674414e-03,-2.513729148004738417e-05,-2.514183543043741961e-02,1.456510839247987131e-03
3.001940267905523537e-03,1.690757716875973508e-05,1.280734776644409240e-02,4.086932464955957300e+00,-1.138155277765051778e+02,-4.253316833408004054e-05,-3.564079347167206646e-02,-1.102413963210865511e+01,5.176769134151254548e+02,8.653967226586449513e-03,1.995799482352031681e-05,1.319726895946699875e-02,-5.676868308514822854e-05,-3.746983890276120444e-02,3.345584431308803747e-03
4.002587023874031383e-03,2.981362601365096908e-05,1.683842540804944207e-02,3.968496248904244350e+00,-1.132499279775300920e+02,-7.446490743365834978e-05,-4.639946055762980692e-02,-1.046586665133555094e+01,5.135577772748795269e+02,1.153862296878181183e-02,3.516926115508177376e-05,1.748606621823860230e-02,-9.987114812505499357e-05,-4.943363752986755510e-02,5.689280396723091562e-03
5.003233779842538795e-03,4.620208915721556197e-05,2.075123434772132430e-02,3.850508917054764613e+00,-1.126776141517795367e+02,-1.145551459132933194e-04,-5.660087958024916793e-02,-9.909688034463888684e+00,5.092190744905197448e+02,1.442327871097717241e-02,5.478199218894358371e-05,2.168081572580990435e-02,-1.551713872444550715e-04,-6.094907043764264537e-02,8.463992967544530649e-03
6.003880535811047074e-03,6.598135824206617000e-05,2.454622484846245845e-02,3.732970373558214927e+00,-1.120979883949069915e+02,-1.623727785045535300e-04,-6.624718092290698968e-02,-9.355597854751898979e+00,5.046224021879010593e+02,1.730793445317253820e-02,7.859825667574047174e-05,2.576713753857916636e-02,-2.219049139242135790e-04,-7.194947293647974140e-02,1.167316845716416009e-02
7.004527291779555354e-03,8.905982491081539858e-05,2.822384717327556386e-02,3.615880510967701689e+00,-1.115103796467562631e+02,-2.174866999390074403e-04,-7.534049496898012621e-02,-8.803588751827517100e+00,4.997198391087427467e+02,2.019259019536790573e-02,1.064099010990414028e-04,2.972637418863206815e-02,-2.992484587047937721e-04,-8.234394121156995983e-02,1.525126833907431041e-02
8.005174047748062766e-03,1.153458808060758362e-04,3.178455158516336337e-02,3.499239208429938408e+00,-1.109140321474424127e+02,-2.794658049482235903e-04,-8.388295210184541773e-02,-8.253651470309000260e+00,4.944507984925674009e+02,2.307724593756326284e-02,1.379815787880356390e-04,3.355508336736327812e-02,-3.863270987181924776e-04,-9.211275084834827376e-02,1.896155725006947942e-02
9.005820803716570178e-03,1.447479175704601256e-04,3.522878834712855900e-02,3.383046329527077400e+00,-1.103080916349627643e+02,-3.478789882637704388e-04,-9.187668270487976685e-02,-7.705774207987323265e+00,4.887375422360827883e+02,2.596190167975862342e-02,1.734758591781388468e-04,3.724700884966797992e-02,-4.832996667182159773e-04,-1.012398843314496893e-01,2.291678274734005108e-02
1.000646755968507759e-02,1.771743268465809636e-04,3.855700772217389438e-02,3.267301719687695449e+00,-1.096915887536704304e+02,-4.222951446172166882e-04,-9.932381716145999295e-02,-7.159941675089856794e+00,4.824786402167973733e+02,2.884655742195398748e-02,2.125222166319951480e-04,4.078169272838378517e-02,-5.888106658792954372e-04,-1.096068485894863137e-01,2.698131130402538908e-02
1.100711431565358674e-02,2.125335002770508709e-04,4.176965997330207847e-02,3.152005203063240391e+00,-1.090634189891552381e+02,-5.022831687401306620e-04,-1.062264858549628738e-01,-6.616133703300208779e+00,4.755391838543848166e+02,3.173121316414935500e-02,2.550917928017731656e-04,4.417935110450253028e-02,-7.025871934763251985e-04,-1.173409189173216099e-01,3.111477447766966553e-02
1.200776107162209415e-02,2.507338295044826259e-04,4.486719536351584797e-02,3.037156578736545764e+00,-1.084223182547600999e+02,-5.874119553640809541e-04,-1.125868191687654229e-01,-6.074323131335322756e+00,4.677357011904192632e+02,3.461586890634471558e-02,3.008809743077544901e-04,4.740430155359824649e-02,-8.232983268623757928e-04,-1.242153682686596150e-01,3.526559976871956881e-02
1.300840782759060156e-02,2.916837061714886814e-04,4.785006415581789796e-02,2.922755616089673936e+00,-1.077668329836855889e+02,-6.772503992206361590e-04,-1.184069474862443350e-01,-5.534472486450248141e+00,4.588120856719343692e+02,3.750052464854009004e-02,3.500316411886343561e-04,5.049158477278621604e-02,-9.512143692608578159e-04,-1.304903300523392318e-01,3.943044653172346481e-02
1.400905458355911071e-02,3.352915219206817343e-04,5.071871661321096514e-02,2.808802049105194598e+00,-1.070952832325676098e+02,-7.713673950413646539e-04,-1.236890011907765541e-01,-4.996528578039984403e+00,4.483995835862950798e+02,4.038518039073543675e-02,4.019025604846202925e-04,5.342644715339041339e-02,-1.084303966798670204e-03,-1.359899543057715710e-01,4.359529329472737469e-02
1.500970133952761812e-02,3.814656683946743461e-04,5.347360299869776540e-02,2.695295569302976091e+00,-1.064057168085885223e+02,-8.693318375578349246e-04,-1.284351106657389274e-01,-4.460413291211096087e+00,4.359469414323947376e+02,4.326983613293079733e-02,4.566876174981116172e-04,5.620477496668691703e-02,-1.222611291354549828e-03,-1.407618009751545329e-01,4.763811060955595866e-02
1.601034809549612553e-02,4.301145372360791865e-04,5.611517357528102157e-02,2.582235816915578130e+00,-1.056958517667220860e+02,-9.707126215016156738e-04,-1.326474062945082466e-01,-3.926007050736457948e+00,4.205909150891841932e+02,4.615449187512615792e-02,5.143993447759089054e-04,5.883691842839657710e-02,-1.365909285293260590e-03,-1.448711946348683610e-01,5.167978629312879046e-02
