time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,K1,K2,K3,K4,k0,shoulder_meas_pos,shoulder_meas_vel,elbow_meas_pos,elbow_meas_vel,elbow_meas_torque
0.000000000000000000e+00,-6.315619999999999568e-01,-6.336429999999999563e-01,0.000000000000000000e+00,1.007775477797903004e+05,-1.872708999999999957e+00,1.456501999999999963e+00,0.000000000000000000e+00,7.554023305199373863e+04,3.565419984110916944e-14,-4.423735061085849019e+00,2.918674325792573576e+00,-4.632603545183746063e-01,7.406403744242445741e-01,5.127468852041428340e-03,-6.315619999999999568e-01,-6.336429999999999563e-01,-1.872708999999999957e+00,1.456501999999999963e+00,-5.127468852005774569e-03
1.000983908883854457e-03,-6.321834688713612316e-01,-6.083982748886880287e-01,2.522138119826544411e+01,3.332853322643969829e+00,-1.871242972386014447e+00,1.475309582964339894e+00,1.856000973779973151e+01,-4.389014914756915573e+02,-5.246304723451511616e-03,-4.468021149755973198e+00,2.918864221305884854e+00,-4.722897440347465503e-01,7.401528845311600158e-01,5.002350244646529623e-03,-6.321811745847234487e-01,-6.083686153128251561e-01,-1.871240121159676750e+00,1.474895076591056897e+00,-9.986605692065131726e-03
2.001967817767708914e-03,-6.327793536157344523e-01,-5.831506063498353987e-01,2.522412419060177413e+01,2.937992110833684389e+00,-1.869760953830345240e+00,1.493664066615846497e+00,1.810897397887375249e+01,-4.354442912345796231e+02,-1.049260944693867527e-02,-4.512568615531020733e+00,2.918935330522750782e+00,-4.812245652046467925e-01,7.396682509907941405e-01,4.928818660432176570e-03,-6.327781231781929305e-01,-5.830857571475979162e-01,-1.869754559055964549e+00,1.492902747288579191e+00,-1.489076795521946522e-02
3.002951726651563371e-03,-6.333496707694831196e-01,-5.579003898991703458e-01,2.522647205287922390e+01,1.753116820313356472e+00,-1.868263235566652858e+00,1.511568746020256704e+00,1.766122884866409137e+01,-4.591657544132438602e+02,-1.573891417042583979e-02,-4.557383045834722424e+00,2.918880144464233606e+00,-4.900803609935004967e-01,7.391838848429751474e-01,4.853879036923359515e-03,-6.333510613959932867e-01,-5.577959181606566563e-01,-1.868253093461574643e+00,1.510508078463699277e+00,-1.979493021837380046e-02
4.003935635535417828e-03,-6.338944368689714004e-01,-5.326480210524205949e-01,2.522842478509961950e+01,2.148325411089480941e+00,-1.866750108828594712e+00,1.529026916243308110e+00,1.721677427030247998e+01,-4.285074101716350583e+02,-2.098521889391300951e-02,-4.602468877096859146e+00,2.918701433806018652e+00,-4.988600834775938631e-01,7.386996462552040121e-01,4.779069256727746205e-03,-6.338963740760850119e-01,-5.324980151130497275e-01,-1.866732729079490394e+00,1.527642621272057077e+00,-2.474005978353119306e-02
5.004919544419271851e-03,-6.344136684505627954e-01,-5.073938953253142037e-01,2.522998238726434295e+01,1.753519904384113870e+00,-1.865221864849831546e+00,1.546041872350736757e+00,1.677561016024802143e+01,-4.250267396939857463e+02,-2.623152361740016883e-02,-4.647828737741010130e+00,2.918402453928503171e+00,-5.075659119302046163e-01,7.382154279193403612e-01,4.705258968856432938e-03,-6.344174783378736526e-01,-5.071930965069780806e-01,-1.865194910273913154e+00,1.544357408149516608e+00,-2.968958767724964865e-02
6.005903453303126742e-03,-6.349073820506214716e-01,-4.821384082335790078e-01,2.523114485937459150e+01,5.691390313519655297e-01,-1.863678794864022326e+00,1.562616909408280685e+00,1.633773642754700361e+01,-4.498599169542070513e+02,-3.147782834088733162e-02,-4.693456158596355898e+00,2.917987990284142352e+00,-5.161953631828289923e-01,7.377312993074400804e-01,4.628771314954448213e-03,-6.349115428674597661e-01,-4.818835726750843595e-01,-1.863641199241135027e+00,1.560634494667277217e+00,-3.465285282555601726e-02
7.006887362186981633e-03,-6.353755942055111516e-01,-4.568819552929428984e-01,2.523191220143122138e+01,9.639645453130990527e-01,-1.862121190104826463e+00,1.578755322481677048e+00,1.590315297299239639e+01,-4.180381252164233388e+02,-3.672413306437449787e-02,-4.739354611398566952e+00,2.917460671284399343e+00,-5.247507432902138724e-01,7.372471423267317192e-01,4.552457238427890483e-03,-6.353819404118640213e-01,-4.565688255411153307e-01,-1.862070870818874235e+00,1.576500239133376668e+00,-3.963625766878756118e-02
8.007871271070835656e-03,-6.358183214515960024e-01,-4.316249320191338223e-01,2.523228441343471573e+01,5.692146851217244619e-01,-1.860549341805903145e+00,1.594460406636661887e+00,1.547185968816983603e+01,-4.145288977242203146e+02,-4.197043778786167106e-02,-4.785527885923144709e+00,2.916823199548804091e+00,-5.332345953839024988e-01,7.367628375867011359e-01,4.479484079361749534e-03,-6.358262178359305183e-01,-4.312506658095096590e-01,-1.860485063071076528e+00,1.591941462404753427e+00,-4.461966251201910511e-02
9.008855179954689679e-03,-6.362355803252394137e-01,-4.063677339278798373e-01,2.523226149538536589e+01,1.744833703779117562e-01,-1.858963541200912450e+00,1.609735456938973241e+00,1.504385645436281216e+01,-4.110087652432671916e+02,-4.721674251134883732e-02,-4.831969927615495486e+00,2.916080338368492342e+00,-5.416446829282423048e-01,7.362784722502462298e-01,4.406890961810736203e-03,-6.362447416487421181e-01,-4.059299439080054084e-01,-1.858884190763976818e+00,1.606962156051849222e+00,-4.963201391079721803e-02
