time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,K1,K2,K3,K4,k0,shoulder_meas_pos,shoulder_meas_vel,elbow_meas_pos,elbow_meas_vel,elbow_meas_torque
0.000000000000000000e+00,5.065880000000000383e-01,-6.347770000000000357e-01,0.000000000000000000e+00,-7.308721068423858378e+04,2.215850999999999793e+00,4.677686999999999706e+00,0.000000000000000000e+00,-1.028331990113320062e+05,1.581914031556613019e-13,-9.964497761039545765e+00,4.765402854344664263e+00,-1.445829730807961511e-01,7.970085382321532297e-01,5.287826977657215238e-02,5.065880000000000383e-01,-6.347770000000000357e-01,2.215850999999999793e+00,4.677686999999999706e+00,-5.287826977641395948e-02
1.000518625566241973e-03,5.059425395665742009e-01,-6.530834738338848755e-01,-1.832839585960399731e+01,-6.481844067739717730e+01,2.220518438808665618e+00,4.651981079667597108e+00,-2.563452101784766768e+01,1.153017206511381829e+02,1.485453021089311147e-03,-1.000246478028362240e+01,4.781635402855838990e+00,-1.404557494888059033e-01,7.972473669048518730e-01,5.347047061271723023e-02,5.059420946601670410e-01,-6.531854983335592113e-01,2.220513783349082892e+00,4.648296107019426415e+00,-4.917018126447224302e-02
2.001037251132483947e-03,5.052763998636717879e-01,-6.714529109606705015e-01,-1.839052786830132646e+01,-6.319905095239256809e+01,2.225160595077703807e+00,4.626391106446305024e+00,-2.551876418295251625e+01,1.150414782054801606e+02,2.970906042020431126e-03,-1.003951420239636683e+01,4.797573677349986632e+00,-1.358725357132431200e-01,7.974628224609594529e-01,5.397569612458515825e-02,5.052793407095604872e-01,-6.716673328157214407e-01,2.225150200486647023e+00,4.619203404873104546e+00,-4.533174249339267520e-02
3.001555876698726137e-03,5.045896246526128115e-01,-6.898837074747836695e-01,-1.845105670952554533e+01,-6.158021742630685935e+01,2.229777567475880851e+00,4.600916819845382477e+00,-2.540326770374299770e+01,1.147812356300499061e+02,4.456359062951551105e-03,-1.007600142925665487e+01,4.813478622632855419e+00,-1.312002429560667482e-01,7.976634676058886875e-01,5.448031857225801855e-02,5.045996475554781480e-01,-6.902199283132504082e-01,2.229759652751742927e+00,4.590400452466313119e+00,-4.149330372231310737e-02
4.002074502264967894e-03,5.038822576947169507e-01,-7.083742594706512463e-01,-1.850998238491868264e+01,-5.996193039036686656e+01,2.234369454671965460e+00,4.575557959374095596e+00,-2.528803158021757724e+01,1.145209928935082502e+02,5.941812083882670216e-03,-1.011192178561275412e+01,4.829350915293272983e+00,-1.264422604614834633e-01,7.978491660690261167e-01,5.498573155045118066e-02,5.038998287795604103e-01,-7.088543842930729033e-01,2.234338186847195207e+00,4.561925497633956716e+00,-3.797316059883581313e-02
5.002593127831209650e-03,5.031543427513035516e-01,-7.269229630427002098e-01,-1.856730489605387646e+01,-5.834418053991967668e+01,2.238936355334725459e+00,4.550314264541706066e+00,-2.517305581237688372e+01,1.142607500140185692e+02,7.427265104813790195e-03,-1.014726891898539485e+01,4.845189886124988021e+00,-1.216001663888946760e-01,7.980197682377314639e-01,5.549021076774032779e-02,5.031810424518147196e-01,-7.275627724202102797e-01,2.238888360476141148e+00,4.533745958937300813e+00,-3.445473689104919940e-02
6.003111753397452274e-03,5.024059235836928483e-01,-7.455282142853570937e-01,-1.862302424443823057e+01,-5.672695896614268918e+01,2.243478368132928669e+00,4.525185474857478241e+00,-2.505834040022072884e+01,1.140005069749237521e+02,8.912718125744911041e-03,-1.018203569565329758e+01,4.860994486076451793e+00,-1.166752993630223445e-01,7.981752070513614683e-01,5.599453658925161725e-02,5.024439987775167760e-01,-7.463390721294121954e-01,2.243410500934236218e+00,4.505845727717082028e+00,-3.107315711329888472e-02
7.003630378963694031e-03,5.016370439532044090e-01,-7.641884092930487649e-01,-1.867714043151538661e+01,-5.511025713816371763e+01,2.247995591735342469e+00,4.500171329830673805e+00,-2.494388534374932931e+01,1.137402637872055919e+02,1.039817114667603015e-02,-1.021621507679704166e+01,4.876763626193740819e+00,-1.116690645408330990e-01,7.983154257470483905e-01,5.649815637724461825e-02,5.016876047190443888e-01,-7.651853297153056177e-01,2.247904851704169538e+00,4.478223579210765415e+00,-2.778708848340586540e-02
8.004149004529935787e-03,5.008477476211578017e-01,-7.829019441602024232e-01,-1.872965345866667874e+01,-5.349406688596015869e+01,2.252488124810734238e+00,4.475271568970556224e+00,-2.482969064296237249e+01,1.134800204368354883e+02,1.188362416760714926e-02,-1.024980068652666354e+01,4.892496350668835703e+00,-1.065829958480215278e-01,7.984403168803037021e-01,5.700071129039324669e-02,5.009127552239270864e-01,-7.840948854420081160e-01,2.252371702898594563e+00,4.450864377871624811e+00,-2.453798791872335849e-02
9.004667630096177544e-03,5.000380783488729275e-01,-8.016672149812444914e-01,-1.878056332721388344e+01,-5.187838039926648293e+01,2.256956066027871799e+00,4.450485931786387184e+00,-2.471575629785832362e+01,1.132197769442162070e+02,1.336907718853826837e-02,-1.028278628160918551e+01,4.908191615676737563e+00,-1.014186302417719454e-01,7.985497886806618428e-01,5.750185857644467963e-02,5.001186919880354909e-01,-8.030683200267010324e-01,2.256811313499464955e+00,4.423764522971634250e+00,-2.145364484193049842e-02
1.000518625566241930e-02,4.992080798976695766e-01,-8.204826178506016143e-01,-1.882987003842186269e+01,-5.026319020932925952e+01,2.261399514055522530e+00,4.425814157787432812e+00,-2.460208230843792521e+01,1.129595332767599416e+02,1.485453020946938749e-02,-1.031516507135724225e+01,4.923848115877408560e+00,-9.617739172969226591e-02,7.986438110751138408e-01,5.800102997200739380e-02,4.993055827445485040e-01,-8.221022858907910402e-01,2.261223929751714046e+00,4.396915164757566608e+00,-1.836930176513763835e-02
1.100570488122866106e-02,4.983577960288672060e-01,-8.393465488627011029e-01,-1.887757359349890862e+01,-4.864848917070365530e+01,2.265818567562455144e+00,4.401255986482953020e+00,-2.448866867470163911e+01,1.126992894601432766e+02,1.633998323040051354e-02,-1.034693035111378734e+01,4.939464471489085184e+00,-9.086068528083879325e-02,7.987223565865285702e-01,5.849883965583349554e-02,4.984739699371151800e-01,-8.411922399127443883e-01,2.265610182126128969e+00,4.370303374589096457e+00,-1.542084159160413137e-02
1.200622350679490455e-02,4.974872705037857723e-01,-8.582574041119692687e-01,-1.892367399359963187e+01,-4.703427047155306440e+01,2.270213325217436573e+00,4.376811157382212158e+00,-2.437551539664756461e+01,1.124390454814035962e+02,1.782543625133163265e-02,-1.037807632862086571e+01,4.955039526998661792e+00,-8.547013504661128691e-02,7.987853378191792642e-01,5.899375228927954129e-02,4.976227911542787652e-01,-8.603397666108340003e-01,2.269969938803574561e+00,4.343930145749733462e+00,-1.251125060364977407e-02
1.300674213236114631e-02,4.965965470837449547e-01,-8.772135796928334228e-01,-1.896817123982637199e+01,-4.542052759890966485e+01,2.274583885689234197e+00,4.352479409994473691e+00,-2.426262247427683150e+01,1.121788013337048113e+02,1.931088927226275176e-02,-1.040859685321827044e+01,4.970571875183646959e+00,-8.000722920668611182e-02,7.988327180527633464e-01,5.948635499096995016e-02,4.967517144815206120e-01,-8.795416898167014441e-01,2.274301662231851040e+00,4.317797668612411321e+00,-9.663101940466269427e-03
1.400726075792738806e-02,4.956856695300644877e-01,-8.962134716997202100e-01,-1.901106533322992220e+01,-4.380725434721503575e+01,2.278930347646616728e+00,4.328260483828999305e+00,-2.414998990758819275e+01,1.119185570329847792e+02,2.079634229319387087e-02,-1.043848552974983512e+01,4.986059969950653148e+00,-7.447347669144938065e-02,7.988645009877639591e-01,5.997537733701842344e-02,4.958617583805687290e-01,-8.987945223723173838e-01,2.278608518259516380e+00,4.291880499606395283e+00,-6.918726751991014640e-03
