time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,K1,K2,K3,K4,k0,shoulder_meas_pos,shoulder_meas_vel,elbow_meas_pos,elbow_meas_vel,elbow_meas_torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.770990211984558118e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.054544682458881289e+04,-3.775758143343748647e-14,-4.835065154291541489e+00,9.810244698853036738e-01,3.763033796068597225e-01,8.171338276760858887e-01,9.588686419311405820e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.588686419349163811e-03
1.000482364143348091e-03,2.060174518721619855e-06,4.415493554837625866e-03,4.380871747050669285e+00,-6.319987029766981834e+01,-5.442953133020992389e-06,-1.257191284499115970e-02,-1.241264051847586458e+01,2.922891918780126730e+02,1.436615227834673681e-03,-4.828972561340537872e+00,9.822919952972861690e-01,3.790583721553809071e-01,8.177135312874967976e-01,9.482967018319014840e-03,2.382850512237552227e-06,4.734775849258731142e-03,-7.106035032490405230e-06,-1.409515109844931315e-02,-6.920103462921838380e-03
2.000964728286696182e-03,8.205429519331423099e-06,8.766445029644008916e-03,4.316432914810421906e+00,-6.303609843823951309e+01,-2.161381034904266739e-05,-2.484094873461629646e-02,-1.211029585378658524e+01,2.912294665375213754e+02,2.873230455707104919e-03,-4.822741740116527787e+00,9.835781930301330522e-01,3.818064919425953607e-01,8.182914852920443183e-01,9.291977252311697452e-03,9.994291709856197487e-06,9.383217188714529367e-03,-2.967730078701099789e-05,-2.778001276459673985e-02,-4.280058478315862391e-03
3.001447092430044490e-03,1.838286216849682102e-05,1.305300362018064347e-02,4.252143138582287207e+00,-6.287191416174142944e+01,-4.827556837350305567e-05,-3.680795167493656345e-02,-1.180879307586303995e+01,2.901592193150606818e+02,4.309845683579536374e-03,-4.816367848949172803e+00,9.848837702946369177e-01,3.845445523617220251e-01,8.188671776609136588e-01,9.121708161136440202e-03,2.077418272996687075e-05,1.394034942543240403e-02,-6.151054047377002641e-05,-4.102455463016333598e-02,-1.696395331996173022e-03
4.001929456573392364e-03,3.253956963288522151e-05,1.727531852220900652e-02,4.188002415510401200e+00,-6.270730001623711303e+01,-8.519122393184019805e-05,-4.847376567201305136e-02,-1.150813205834671393e+01,2.890776669512854369e+02,5.746460911451966962e-03,-4.809852446170236995e+00,9.862085021352278158e-01,3.872729575612969821e-01,8.194406332907037127e-01,8.966744887946511908e-03,3.719212488152391020e-05,1.840202126837658242e-02,-1.096383315161730029e-04,-5.381798383162716970e-02,7.143803734281500839e-04
5.002411820716740239e-03,5.062264907916405111e-05,2.143353893149059844e-02,4.124010742576367683e+00,-6.254223755186066569e+01,-1.321237737494921260e-04,-5.983923473190692899e-02,-1.120831266213626343e+01,2.879839464734690750e+02,7.183076139324397549e-03,-4.803194981307635558e+00,9.875526638934044588e-01,3.899907037759671180e-01,8.200117038267256131e-01,8.826917042870299421e-03,5.782058808890849533e-05,2.277649575425536380e-02,-1.697912366625200674e-04,-6.619352616831294944e-02,3.108154511859933036e-03
6.002894184860088980e-03,7.257919767400070076e-05,2.552781404378690056e-02,4.060168116587537845e+00,-6.237670724804662115e+01,-1.888362145518968712e-04,-7.090520286067930611e-02,-1.090933473373967466e+01,2.868771047869487916e+02,8.619691367196830739e-03,-4.796396406985092398e+00,9.889162315473384313e-01,3.926977044235991365e-01,8.205803678649578048e-01,8.701101168118825432e-03,8.275531746060607802e-05,2.706683164194720326e-02,-2.420035132114724448e-04,-7.816994451278236333e-02,5.333222572231756213e-03
7.003376549003436854e-03,9.835631258406258854e-05,2.955829305485939765e-02,3.996474534164254688e+00,-6.221068843504146884e+01,-2.550915430644925055e-04,-8.167251406439131334e-02,-1.061119810336393776e+01,2.857560865947002071e+02,1.005630659506926046e-02,-4.789457078733954987e+00,9.902992084565349629e-01,3.953936042136328433e-01,8.211465450018470280e-01,8.588106087831429494e-03,1.120692434165488537e-04,3.127517529097637028e-02,-3.263891635459661121e-04,-8.975625681922107246e-02,7.558290632603576788e-03
8.003858913146784729e-03,1.279010909760171732e-04,3.352512516046957797e-02,3.932929991725953034e+00,-6.204415920785139349e+01,-3.306527560127171285e-04,-9.214201234910410210e-02,-1.031390258269200899e+01,2.846197203176012067e+02,1.149292182294169191e-02,-4.782377855574187819e+00,9.917015466036902538e-01,3.980782874981244612e-01,8.217102005673377896e-01,8.487327145161838518e-03,1.452974795366783120e-04,3.540406107145449566e-02,-4.214366854081104440e-04,-1.009639915966045881e-01,9.646172814683469723e-03
9.004341277290132603e-03,1.611606300165318456e-04,3.742845955637893324e-02,3.869534485476004093e+00,-6.187709633279121135e+01,-4.152828501220087037e-04,-1.023145417208788099e-01,-1.001744796228584988e+01,2.834667016222736606e+02,1.292953705081412510e-02,-4.775158753005279699e+00,9.931233412262986393e-01,4.007511414914537995e-01,8.222712263677911526e-01,8.398680998678458021e-03,1.829152318378492582e-04,3.945527978778773370e-02,-5.283535482523242510e-04,-1.118051613785527726e-01,1.172485940342949881e-02
1.000482364143348048e-02,1.980820268722739154e-04,4.126844543834894130e-02,3.806288011385178915e+00,-6.170947514486033469e+01,-5.087448221178049240e-04,-1.121909461857765189e-01,-9.721834008540060523e+00,2.822955740646097524e+02,1.436615227868655136e-02,-4.767800807817351050e+00,9.945644934409439974e-01,4.034121584317676978e-01,8.228296000469527138e-01,8.322033380082916043e-03,2.242120960523904074e-04,4.343052408871075215e-02,-6.450011227654350518e-04,-1.222830915121495415e-01,1.371098675855227621e-02
1.100530600557682835e-02,2.386123787099108686e-04,4.504523200214110429e-02,3.743190565173555306e+00,-6.154126943620357792e+01,-6.108016687255444577e-04,-1.217720697498583943e-01,-9.427060460092430816e+00,2.811047062470773312e+02,1.580276750655898454e-02,-4.760304192365573783e+00,9.960250836944005703e-01,4.060607792493199364e-01,8.233852269698244131e-01,8.257142288276380498e-03,2.697845085404943465e-04,4.733168432140055087e-02,-7.728768897004343425e-04,-1.324138543529608247e-01,1.567143379043808848e-02
1.200578836972017796e-02,2.826987826961102992e-04,4.875896844351691739e-02,3.680242142290689689e+00,-6.137245133328138991e+01,-7.212163866706653229e-04,-1.310587564191856291e-01,-9.133127023575104531e+00,2.798922647284533127e+02,1.723938273443142294e-02,-4.752669672719831873e+00,9.975050344931564172e-01,4.086968527070713453e-01,8.239380577396533401e-01,8.203849030038463941e-03,3.188947998195504471e-04,5.115957372730466773e-02,-9.098241567942201265e-04,-1.421936431311812410e-01,1.757134649583189101e-02
1.300627073386352583e-02,3.302883359975394492e-04,5.240980395823784110e-02,3.617442737893935334e+00,-6.120299116243190696e+01,-8.397519726786048869e-04,-1.400518501998192777e-01,-8.840033368560836990e+00,2.786561817389920179e+02,1.867599796230385092e-02,-4.744897823692873828e+00,9.990043688319449888e-01,4.113200128960981528e-01,8.244880323384793375e-01,8.161882724174762335e-03,3.721060275619940058e-04,5.491629397202515972e-02,-1.057209885430368491e-03,-1.516418194234618599e-01,1.943546900874953964e-02
1.400675309800687371e-02,3.813281357808656147e-04,5.599788774206536368e-02,3.554792346824619642e+00,-6.103285730208208548e+01,-9.661714234748018182e-04,-1.487521950978204499e-01,-8.547779121520452605e+00,2.773941164980992085e+02,2.011261319017628238e-02,-4.736989088542165938e+00,1.000523044302866538e+00,4.139299310163843670e-01,8.250350704669263679e-01,8.131086264160224120e-03,4.287615842137046450e-04,5.860191662951468039e-02,-1.213141979973249079e-03,-1.607493769787560756e-01,2.126202537059020820e-02
1.500723546215022158e-02,4.357652792127562815e-04,5.952336899076100113e-02,3.492290963581776264e+00,-6.086201602076708639e+01,-1.100237735784693810e-03,-1.571606351192503526e-01,-8.256363858557827839e+00,2.761034086088419031e+02,2.154922841804871383e-02,-4.728944316384602331e+00,1.002061039060097025e+00,4.165263709198794295e-01,8.255791345923996216e-01,8.111185737586373845e-03,4.893158944670326005e-04,6.221867157095208739e-02,-1.378668156011604454e-03,-1.695372855222245234e-01,2.304690643029046193e-02
1.600771782629356946e-02,4.935468634598788812e-04,6.298639690008621395e-02,3.429938582293309945e+00,-6.069043129730744113e+01,-1.241713906333718771e-03,-1.652780142701699984e-01,-7.965787096624560526e+00,2.747810215575495931e+02,2.298584364592113835e-02,-4.720763856514776258e+00,1.003618317882695177e+00,4.191089434928546020e-01,8.261201344410211700e-01,8.102036177630968922e-03,5.532470596298546400e-04,6.576616845169389047e-02,-1.552286032830737204e-03,-1.779940217751473652e-01,2.481070571325899934e-02
