time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque
0.000000000000000000e+00,-6.315619999999999568e-01,-6.336429999999999563e-01,2.521830904066489509e+01,3.332382520889292099e+00,-1.872708999999999957e+00,1.456501999999999963e+00,1.901652045258898482e+01,-4.554976013407230653e+02,3.565419984110916944e-14
1.000983908883854457e-03,-6.321834688713613426e-01,-6.083982748886880287e-01,2.522144713846704889e+01,2.937643948674594885e+00,-1.871242972386014669e+00,1.475309582964339894e+00,1.856222059655140555e+01,-4.522090101354667127e+02,-5.246304723451511616e-03
2.001967817767708914e-03,-6.327793536157344523e-01,-5.831506063498353987e-01,2.522419010931020367e+01,2.542905376459898115e+00,-1.869760953830345462e+00,1.493664066615846497e+00,1.811121256739318852e+01,-4.489204189302104169e+02,-1.049260944693867700e-02
3.002951726651563371e-03,-6.333496707694832306e-01,-5.579003898991703458e-01,2.522653795319434877e+01,2.148166804245200900e+00,-1.868263235566652636e+00,1.511568746020256926e+00,1.766349636511432664e+01,-4.456318277249540643e+02,-1.573891417042583979e-02
4.003935635535417828e-03,-6.338944368689714004e-01,-5.326480210524205949e-01,2.522849067011949842e+01,1.753428232030503908e+00,-1.866750108828594712e+00,1.529026916243308110e+00,1.721907198971482700e+01,-4.423432365196977116e+02,-2.098521889391300604e-02
5.004919544419271851e-03,-6.344136684505627954e-01,-5.073938953253142037e-01,2.523004826008564194e+01,1.358689659815806916e+00,-1.865221864849831546e+00,1.546041872350736979e+00,1.677793944119468250e+01,-4.390546453144414158e+02,-2.623152361740016883e-02
6.005903453303126742e-03,-6.349073820506214716e-01,-4.821384082335789523e-01,2.523121072309278290e+01,9.639510876011097018e-01,-1.863678794864022104e+00,1.562616909408280907e+00,1.634009871955389670e+01,-4.357660541091850632e+02,-3.147782834088733855e-02
7.006887362186981633e-03,-6.353755942055111516e-01,-4.568819552929428429e-01,2.523197805914092129e+01,5.692125153864124876e-01,-1.862121190104826240e+00,1.578755322481677048e+00,1.590554982479247315e+01,-4.324774629039287106e+02,-3.672413306437450481e-02
8.007871271070835656e-03,-6.358183214515960024e-01,-4.316249320191338779e-01,2.523235026823005711e+01,1.744739431717157174e-01,-1.860549341805903145e+00,1.594460406636661887e+00,1.547429275691040473e+01,-4.291888716986724148e+02,-4.197043778786167106e-02
9.008855179954689679e-03,-6.362355803252394137e-01,-4.063677339278798928e-01,2.523232735036019037e+01,-2.202646290429814968e-01,-1.858963541200912450e+00,1.609735456938973241e+00,1.504632751590769857e+01,-4.259002804934160622e+02,-4.721674251134883038e-02
