time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque
0.000000000000000000e+00,5.065880000000000383e-01,-6.347770000000000357e-01,-1.826498486412580036e+01,-6.450027813863347603e+01,2.215850999999999793e+00,4.677686999999999706e+00,-2.575062578532277513e+01,1.160871590840916809e+02,1.581914031556612766e-13
1.000518625566241973e-03,5.059425395665742009e-01,-6.530834738338848755e-01,-1.832871705666874007e+01,-6.289803492499533633e+01,2.220518438808665618e+00,4.651981079667597108e+00,-2.563460859832499139e+01,1.158269383313854064e+02,1.485453021089311147e-03
2.001037251132483947e-03,5.052763998636717879e-01,-6.714529109606705015e-01,-1.839084617503374730e+01,-6.129579171135720372e+01,2.225160595077703807e+00,4.626391106446305024e+00,-2.551885176703704872e+01,1.155667175786791461e+02,2.970906042020431126e-03
3.001555876698726137e-03,5.045896246526128115e-01,-6.898837074747836695e-01,-1.845137221922082205e+01,-5.969354849771906402e+01,2.229777567475881295e+00,4.600916819845382477e+00,-2.540335529145894711e+01,1.153064968259728715e+02,4.456359062951551105e-03
4.002074502264967894e-03,5.038822576947169507e-01,-7.083742594706512463e-01,-1.851029518922996786e+01,-5.809130528408093141e+01,2.234369454671965904e+00,4.575557959374096484e+00,-2.528811917159068656e+01,1.150462760732666112e+02,5.941812083882670216e-03
5.002593127831209650e-03,5.031543427513035516e-01,-7.269229630427000988e-01,-1.856761508506117764e+01,-5.648906207044279171e+01,2.238936355334725903e+00,4.550314264541706955e+00,-2.517314340743226708e+01,1.147860553205603367e+02,7.427265104813790195e-03
6.003111753397452274e-03,5.024059235836928483e-01,-7.455282142853572047e-01,-1.862333190671445848e+01,-5.488681885680465911e+01,2.243478368132928669e+00,4.525185474857478241e+00,-2.505842799898369222e+01,1.145258345678540763e+02,8.912718125744911041e-03
7.003630378963694031e-03,5.016370439532044090e-01,-7.641884092930488759e-01,-1.867744565418980329e+01,-5.328457564316651940e+01,2.247995591735342469e+00,4.500171329830673805e+00,-2.494397294624495487e+01,1.142656138151478018e+02,1.039817114667603015e-02
8.004149004529935787e-03,5.008477476211578017e-01,-7.829019441602024232e-01,-1.872995632748722272e+01,-5.168233242952838680e+01,2.252488124810734238e+00,4.475271568970556224e+00,-2.482977824921606214e+01,1.140053930624415415e+02,1.188362416760714926e-02
9.004667630096177544e-03,5.000380783488729275e-01,-8.016672149812443804e-01,-1.878086392660670256e+01,-5.008008921589024709e+01,2.256956066027871799e+00,4.450485931786387184e+00,-2.471584390789701047e+01,1.137451723097352669e+02,1.336907718853826837e-02
1.000518625566241930e-02,4.992080798976695766e-01,-8.204826178506016143e-01,-1.883016845154825702e+01,-4.847784600225210738e+01,2.261399514055522530e+00,4.425814157787432812e+00,-2.460216992228779986e+01,1.134849515570290066e+02,1.485453020946938922e-02
1.100570488122866106e-02,4.983577960288672060e-01,-8.393465488627009918e-01,-1.887786990231187545e+01,-4.687560278861397478e+01,2.265818567562455144e+00,4.401255986482953020e+00,-2.448875629238842677e+01,1.132247308043227321e+02,1.633998323040051007e-02
1.200622350679490455e-02,4.974872705037857723e-01,-8.582574041119693797e-01,-1.892396827889756139e+01,-4.527335957497584218e+01,2.270213325217436573e+00,4.376811157382212158e+00,-2.437560301819890185e+01,1.129645100516164717e+02,1.782543625133163265e-02
1.300674213236114631e-02,4.965965470837449547e-01,-8.772135796928335338e-01,-1.896846358130531485e+01,-4.367111636133770247e+01,2.274583885689234641e+00,4.352479409994473691e+00,-2.426271009971921444e+01,1.127042892989101972e+02,1.931088927226275176e-02
1.400726075792738806e-02,4.956856695300645432e-01,-8.962134716997202100e-01,-1.901135580953514292e+01,-4.206887314769956276e+01,2.278930347646617172e+00,4.328260483828999305e+00,-2.415007753694937165e+01,1.124440685462039369e+02,2.079634229319387087e-02
1.500777938349362982e-02,4.947546816040641060e-01,-9.152554762270561639e-01,-1.905264496358703141e+01,-4.046662993406143016e+01,2.283252809758351987e+00,4.304154118395054240e+00,-2.403770532988936637e+01,1.121838477934976623e+02,2.228179531412498998e-02
1.600829800905987157e-02,4.938036270670635441e-01,-9.343379893692685956e-01,-1.909233104346099097e+01,-3.886438672042329756e+01,2.287551370693206909e+00,4.280160053201899295e+00,-2.392559347853920215e+01,1.119236270407914020e+02,2.376724833505610909e-02
1.700881663462611507e-02,4.928325496803824812e-01,-9.534594072207837057e-01,-1.913041404915701449e+01,-3.726214350678515075e+01,2.291826129119948874e+00,4.256278027758799709e+00,-2.381374198289888255e+01,1.116634062880851275e+02,2.525270135598723167e-02
1.800933526019235509e-02,4.918414932053407074e-01,-9.726181258760288051e-01,-1.916689398067511263e+01,-3.565990029314701815e+01,2.296077183707346148e+00,4.232507781575016281e+00,-2.370215084296840402e+01,1.114031855353788671e+02,2.673815437691834732e-02
1.900985388575859858e-02,4.908305014032580127e-01,-9.918125414294305386e-01,-1.920177083801527473e+01,-3.405765707950888554e+01,2.300304633124166109e+00,4.208849054159813363e+00,-2.359082005874776655e+01,1.111429647826725926e+02,2.822360739784946990e-02
2.001037251132483860e-02,4.897996180354539653e-01,-1.011041049975415662e+00,-1.923504462117750791e+01,-3.245541386587074584e+01,2.304508576039177026e+00,4.185301585022452642e+00,-2.347974963023697015e+01,1.108827440299663323e+02,2.970906041878058901e-02
2.101089113689108209e-02,4.887488868632484662e-01,-1.030302047608411264e+00,-1.926671533016180149e+01,-3.085317065223261324e+01,2.308689111121146276e+00,4.161865113672199357e+00,-2.336893955743601481e+01,1.106225232772600577e+02,3.119451343971170812e-02
2.201140976245732211e-02,4.876783516479610836e-01,-1.049593930422843657e+00,-1.929678296496816969e+01,-2.925092743859448063e+01,2.312846337038841682e+00,4.138539379618314307e+00,-2.325838984034490409e+01,1.103623025245537974e+02,3.267996646064282723e-02
2.301192838802356561e-02,4.865880561509117186e-01,-1.068915094513140263e+00,-1.932524752559660541e+01,-2.764868422495634093e+01,2.316980352461030623e+00,4.115324122370062732e+00,-2.314810047896363088e+01,1.101020817718475229e+02,3.416541948157394981e-02
2.401244701358980910e-02,4.854780441334199947e-01,-1.088263935973727392e+00,-1.935210901204710865e+01,-2.604644101131820122e+01,2.321091256056480479e+00,4.092219081436704542e+00,-2.303807147329219873e+01,1.098418610191412625e+02,3.565087250250507239e-02
2.501296563915604912e-02,4.843483593568055912e-01,-1.107638850899032024e+00,-1.937736742431967585e+01,-2.444419779768006862e+01,2.325179146493959959e+00,4.069223996327506754e+00,-2.292830282333061120e+01,1.095816402664349880e+02,3.713632552343618803e-02
2.601348426472229261e-02,4.831990455823884090e-01,-1.127038235383480913e+00,-1.940102276241431767e+01,-2.284195458404192891e+01,2.329244122442236442e+00,4.046338606551728390e+00,-2.281879452907886474e+01,1.093214195137287277e+02,3.862177854436731061e-02
2.701400289028853263e-02,4.820301465714880718e-01,-1.146460485521501260e+00,-1.942307502633101990e+01,-2.123971137040379631e+01,2.333286282570077308e+00,4.023562651618634689e+00,-2.270954659053695934e+01,1.090611987610224531e+02,4.010723156529842626e-02
2.801452151585477612e-02,4.808417060854243141e-01,-1.165903997407519377e+00,-1.944352421606979675e+01,-1.963746815676565660e+01,2.337305725546249935e+00,4.000895871037490004e+00,-2.260055900770489856e+01,1.088009780083161928e+02,4.159268458622954884e-02
2.901504014142101615e-02,4.796337678855168707e-01,-1.185367167135962241e+00,-1.946237033163063757e+01,-1.803522494312752400e+01,2.341302550039523034e+00,3.978338004317554688e+00,-2.249183178058267174e+01,1.085407572556099183e+02,4.307813760716066448e-02
3.001555876698725964e-02,4.784063757330855871e-01,-1.204848390801257052e+00,-1.947961337301354590e+01,-1.643298172948938429e+01,2.345276854718663540e+00,3.955888790968092650e+00,-2.238336490917029309e+01,1.082805365029036579e+02,4.456359062809178706e-02
