time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.445669895021858942e+00,-1.199145928276397797e+02,0.000000000000000000e+00,0.000000000000000000e+00,-1.271749819290002392e+01,5.650384764797960315e+02,3.613259624072682996e-16
1.000646755968507846e-03,1.909155804546873326e-06,4.388585325422089851e-03,4.325902732705924514e+00,-1.194649116809489016e+02,-4.869609348819387867e-06,-1.244319357623401359e-02,-1.215315877762774655e+01,5.629108461082006443e+02,2.884655742195724008e-03
2.001293511937015691e-03,7.575550979929242677e-06,8.657551159902547241e-03,4.206585542370647524e+00,-1.190152305342580235e+02,-1.919103388298989567e-05,-2.432274793899908208e-02,-1.159094836878470502e+01,5.607832157366052570e+02,5.769311484391087194e-03
3.001940267905523537e-03,1.690757716875973508e-05,1.280734776644409240e-02,4.087718324016026195e+00,-1.185655493875671453e+02,-4.253316833408004054e-05,-3.564079347167206646e-02,-1.103086696637090292e+01,5.586555853650097561e+02,8.653967226586449513e-03
4.002587023874031383e-03,2.981362601365096908e-05,1.683842540804944207e-02,3.969301077642061415e+00,-1.181158682408762672e+02,-7.446490743365834978e-05,-4.639946055762980692e-02,-1.047291457038633489e+01,5.565279549934143688e+02,1.153862296878181183e-02
5.003233779842538795e-03,4.620208915721555519e-05,2.075123434772132430e-02,3.851333803248753185e+00,-1.176661870941853891e+02,-1.145551459132933194e-04,-5.660087958024916793e-02,-9.917091180831008046e+00,5.544003246218189815e+02,1.442327871097717241e-02
6.003880535811047074e-03,6.598135824206617000e-05,2.454622484846246191e-02,3.733816500836101060e+00,-1.172165059474945110e+02,-1.623727785045535300e-04,-6.624718092290698968e-02,-9.363396797704915286e+00,5.522726942502235943e+02,1.730793445317253820e-02
7.004527291779555354e-03,8.905982491081539858e-05,2.822384717327556386e-02,3.616749170404105485e+00,-1.167668248008036187e+02,-2.174866999390074674e-04,-7.534049496898012621e-02,-8.811831421008058385e+00,5.501450638786280933e+02,2.019259019536790226e-02
8.005174047748062766e-03,1.153458808060758498e-04,3.178455158516335644e-02,3.500131811952766459e+00,-1.163171436541127406e+02,-2.794658049482235903e-04,-8.388295210184543160e-02,-8.262395050740440894e+00,5.480174335070327061e+02,2.307724593756326284e-02
9.005820803716570178e-03,1.447479175704601256e-04,3.522878834712855900e-02,3.383964425482083982e+00,-1.158674625074218625e+02,-3.478789882637704388e-04,-9.187668270487976685e-02,-7.715087686902060149e+00,5.458898031354373188e+02,2.596190167975862342e-02
1.000646755968507759e-02,1.771743268465809365e-04,3.855700772217389438e-02,3.268247010992057611e+00,-1.154177813607309844e+02,-4.222951446172165798e-04,-9.932381716145997907e-02,-7.169909329492916150e+00,5.437621727638419316e+02,2.884655742195398401e-02
1.100711431565358674e-02,2.125335002770509251e-04,4.176965997330207847e-02,3.152979568482687789e+00,-1.149681002140401063e+02,-5.022831687401306620e-04,-1.062264858549628876e-01,-6.626859978513008009e+00,5.416345423922465443e+02,3.173121316414935500e-02
1.200776107162209415e-02,2.507338295044826259e-04,4.486719536351584797e-02,3.038162097953974516e+00,-1.145184190673492282e+02,-5.874119553640809541e-04,-1.125868191687654229e-01,-6.085939633962338391e+00,5.395069120206510433e+02,3.461586890634471558e-02
1.300840782759060156e-02,2.916837061714886272e-04,4.785006415581789102e-02,2.923794599405917793e+00,-1.140687379206583500e+02,-6.772503992206360506e-04,-1.184069474862443350e-01,-5.547148295840905519e+00,5.373792816490556561e+02,3.750052464854007617e-02
1.400905458355911071e-02,3.352915219206817343e-04,5.071871661321097208e-02,2.809877072838517176e+00,-1.136190567739674719e+02,-7.713673950413646539e-04,-1.236890011907765680e-01,-5.010485964148708504e+00,5.352516512774602688e+02,4.038518039073544369e-02
1.500970133952761812e-02,3.814656683946742919e-04,5.347360299869777234e-02,2.696409518251773108e+00,-1.131693756272765938e+02,-8.693318375578348162e-04,-1.284351106657389274e-01,-4.475952638885750012e+00,5.331240209058648816e+02,4.326983613293080427e-02
1.601034809549612553e-02,4.301145372360791865e-04,5.611517357528102157e-02,2.583391935645685589e+00,-1.127196944805857157e+02,-9.707126215016156738e-04,-1.326474062945082466e-01,-3.943548320052026934e+00,5.309963905342694943e+02,4.615449187512616486e-02
1.701099485146463294e-02,4.811465200875088711e-04,5.864387860596345647e-02,2.470824325020254619e+00,-1.122700133338948376e+02,-1.075078641604275279e-03,-1.363280184604614420e-01,-3.413273007647542379e+00,5.288687601626739934e+02,4.903914761732152544e-02
1.801164160743314036e-02,5.344700085915760155e-04,6.106016835374779989e-02,2.358706686375479755e+00,-1.118203321872039453e+02,-1.181998792597382334e-03,-1.394790775469753330e-01,-2.885126701672295013e+00,5.267411297910786061e+02,5.192380335951688602e-02
1.901228836340164777e-02,5.899933943908933437e-04,6.336449308163671912e-02,2.247039019711361441e+00,-1.113706510405130814e+02,-1.291041969212505325e-03,-1.421027139374267390e-01,-2.359109402126284394e+00,5.246134994194832188e+02,5.480845910171224661e-02
2.001293511937015518e-02,6.476250691280732545e-04,6.555730305263302027e-02,2.135821325027899675e+00,-1.109209698938221891e+02,-1.401777066181212738e-03,-1.442010580151925903e-01,-1.835221109009510965e+00,5.224858690478878316e+02,5.769311484390760719e-02
2.101358187533866606e-02,7.072734244457290140e-04,6.763904852973937065e-02,2.025053602325093571e+00,-1.104712887471313110e+02,-1.513772978235073492e-03,-1.457762401636495675e-01,-1.313461822321971173e+00,5.203582386762923306e+02,6.057777058610298165e-02
2.201422863130717347e-02,7.688468519864723703e-04,6.961017977595848616e-02,1.914735851602944683e+00,-1.100216076004404329e+02,-1.626598600105655422e-03,-1.468303907661747676e-01,-7.938315420636717912e-01,5.182306083046969434e+02,6.346242632829834918e-02
2.301487538727568088e-02,8.322537433929163729e-04,7.147114705429311043e-02,1.804868072861452344e+00,-1.095719264537495548e+02,-1.739822826524527449e-03,-1.473656402061448711e-01,-2.763302682346094885e-01,5.161029779331015561e+02,6.634708207049370976e-02
2.401552214324418830e-02,8.974024903076736372e-04,7.322240062774594549e-02,1.695450266100616110e+00,-1.091222453070586766e+02,-1.853014552223258057e-03,-1.473841188669368085e-01,2.390419991652158460e-01,5.139753475615061689e+02,6.923173781268907034e-02
2.501616889921269571e-02,9.642014843733567788e-04,7.486439075931974885e-02,1.586482431320436426e+00,-1.086725641603677985e+02,-1.965742671933415949e-03,-1.468879571319273714e-01,7.522852601358042124e-01,5.118477171899107248e+02,7.211639355488443093e-02
2.601681565518120312e-02,1.032559117232578197e-03,7.639756771201716701e-02,1.477964568520913069e+00,-1.082228830136769204e+02,-2.077576080386569178e-03,-1.458792853844934068e-01,1.263399514677157276e+00,5.097200868183153375e+02,7.500104929707979151e-02
2.701746241114971053e-02,1.102383780527951048e-03,7.782238174884099913e-02,1.369896677702046039e+00,-1.077732018669860423e+02,-2.188083672314286229e-03,-1.443602340080118451e-01,1.772384762789271484e+00,5.075924564467198934e+02,7.788570503927515210e-02
2.801810916711822141e-02,1.173583865902087624e-03,7.913928313279393334e-02,1.262278758863835115e+00,-1.073235207202951642e+02,-2.296834342448136456e-03,-1.423329333858595058e-01,2.279241004472150500e+00,5.054648260751245061e+02,8.077036078147052656e-02
2.901875592308672883e-02,1.246067764997600214e-03,8.034872212687867166e-02,1.155110812006281407e+00,-1.068738395736042719e+02,-2.403396985519687477e-03,-1.397995139014132360e-01,2.783968239725792770e+00,5.033371957035290620e+02,8.365501652366588714e-02
3.001940267905523624e-02,1.319743869457101976e-03,8.145114899409798548e-02,1.048392837129383803e+00,-1.064241584269134080e+02,-2.507340496260507777e-03,-1.367621059380498827e-01,3.286566468550193854e+00,5.012095653319336748e+02,8.653967226586124772e-02
3.102004943502374365e-02,1.394520570923205418e-03,8.244701399745452131e-02,9.421248342331425274e-01,-1.059744772802225157e+02,-2.608233769402167144e-03,-1.332228398791462931e-01,3.787035690945361743e+00,4.990819349603382307e+02,8.942432800805660831e-02
3.202069619099225106e-02,1.470306261038523046e-03,8.333676739995106442e-02,8.363068033175578009e-01,-1.055247961335316376e+02,-2.705645699676233196e-03,-1.291838461080792588e-01,4.285375906911292887e+00,4.969543045887428434e+02,9.230898375025196889e-02
3.302134294696076194e-02,1.547009331445667150e-03,8.412085946459033070e-02,7.309387443826289577e-01,-1.050751149868407595e+02,-2.799145181814273551e-03,-1.246472550082257658e-01,4.781587116447987285e+00,4.948266742171474561e+02,9.519363949244734335e-02
3.402198970292926589e-02,1.624538173787251107e-03,8.479974045437498054e-02,6.260206574283578851e-01,-1.046254338401498813e+02,-2.888301110547858864e-03,-1.196151969629626055e-01,5.275669319555440495e+00,4.926990438455520120e+02,9.807829523464269006e-02
3.502263645889777677e-02,1.702801179705887204e-03,8.537386063230781308e-02,5.215525424547415856e-01,-1.041757526934590032e+02,-2.972682380608555452e-03,-1.140898023556665697e-01,5.767622516233659624e+00,4.905714134739565679e+02,1.009629509768380645e-01
