meas_time,shoulder_des_pos_store,shoulder_meas_pos,shoulder_des_vel_store,shoulder_meas_vel,elbow_des_pos_store,elbow_meas_pos,elbow_des_vel_store,elbow_meas_vel,elbow_des_tau_store,elbow_meas_tau,elbow_cmd_tau,elbow_clipped_tau,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store,state_machine_flag
6.318092346191406250e-03,nan,-5.325990039598331727e-01,nan,-7.763309828380625735e-03,nan,-1.975431696499355905e+00,nan,6.303395087420910620e-03,nan,0.000000000000000000e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
1.108503341674804688e-02,nan,-5.326417983117819333e-01,nan,-3.013909496526491830e-02,nan,-1.975399676148436923e+00,nan,3.027470344006094258e-02,nan,0.000000000000000000e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
1.545929908752441406e-02,nan,-5.325408900696197989e-01,nan,4.177247301466389257e-02,nan,-1.975511653749896235e+00,nan,-4.163930646710774924e-02,nan,1.090846180915832520e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
1.977777481079101562e-02,nan,-5.357499162192040920e-01,nan,-8.431510597182836353e-01,nan,-1.972379651472286888e+00,nan,8.459306706479184923e-01,nan,2.329933643341064453e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
2.414226531982421875e-02,nan,-5.374483656496567008e-01,nan,-1.875612028788575802e-02,nan,-1.969807162694946490e+00,nan,4.327404837095545909e-01,nan,2.745363235473632812e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
2.842736244201660156e-02,nan,-5.370676321916119100e-01,nan,-6.210617355986154664e-02,nan,-1.970174554089701324e+00,nan,-8.958202265081720295e-02,nan,2.445337772369384766e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
3.277635574340820312e-02,nan,-5.377842906381471444e-01,nan,-3.529262589636795733e-01,nan,-1.969327793698732343e+00,nan,2.315075350580846070e-01,nan,2.403630495071411133e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
3.703618049621582031e-02,nan,-5.383811838337746458e-01,nan,-2.733731718568860880e-01,nan,-1.968225245007439561e+00,nan,2.750344505745430657e-01,nan,2.474921703338623047e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
4.133200645446777344e-02,nan,-5.386812613324205579e-01,nan,-2.103704806161948299e-02,nan,-1.967857666359170477e+00,nan,7.380138488962674492e-02,nan,2.536127805709838867e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
4.560446739196777344e-02,nan,-5.389610251896979065e-01,nan,-7.043842958923036968e-02,nan,-1.967554128412739578e+00,nan,8.641788298884257868e-02,nan,2.476827383041381836e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
4.984784126281738281e-02,nan,-5.395989010487234339e-01,nan,-1.617641949346284302e-01,nan,-1.966451579721446796e+00,nan,2.523245550390957881e-01,nan,2.436645269393920898e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
5.413389205932617188e-02,nan,-5.401335565428269092e-01,nan,-9.031809748957447814e-02,nan,-1.965508758277720647e+00,nan,1.595933964141249273e-01,nan,2.591173171997070312e+00,2.500000000000000000e+00,2.500000000000000000e+00,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00
