meas_time,shoulder_des_pos_store,shoulder_meas_pos,shoulder_des_vel_store,shoulder_meas_vel,elbow_des_pos_store,elbow_meas_pos,elbow_des_vel_store,elbow_meas_vel,elbow_des_tau_store,elbow_meas_tau,elbow_cmd_tau,elbow_clipped_tau,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store
6.369829177856445312e-03,nan,-5.382821816149760963e-01,nan,3.281297053237529349e-02,nan,-1.968081434308575295e+00,nan,-3.342120323583576413e-02,nan,0.000000000000000000e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
1.079392433166503906e-02,nan,-5.382486871818468188e-01,nan,4.659293864450150813e-02,nan,-1.968113267405980027e+00,nan,-4.666854086919318412e-02,nan,0.000000000000000000e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
1.483917236328125000e-02,nan,-5.383922195742347760e-01,nan,-1.974185640095787661e-02,nan,-1.967969456707115761e+00,nan,2.019883615117334941e-02,nan,1.010529875755310059e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
1.878714561462402344e-02,nan,-5.409526731627747331e-01,nan,-8.020624924938981604e-01,nan,-1.965412884478477729e+00,nan,8.030517693238521382e-01,nan,2.513666391372680664e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
2.272272109985351562e-02,nan,-5.438272007630140514e-01,nan,-2.918788945350238584e-01,nan,-1.962025281154058831e+00,nan,6.358832075451124055e-01,nan,3.330893754959106445e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
2.676010131835937500e-02,nan,-5.438280262860448744e-01,nan,-7.031240121227752549e-02,nan,-1.961769680107249281e+00,nan,2.335274855285581624e-02,nan,3.155091285705566406e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
3.067970275878906250e-02,nan,-5.440667156923009173e-01,nan,-4.633420771697066565e-02,nan,-1.961306227659737500e+00,nan,2.422487711365387264e-01,nan,2.666778564453125000e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
3.493022918701171875e-02,nan,-5.452689414606979312e-01,nan,-3.214335889676925295e-01,nan,-1.959564582724663717e+00,nan,4.012162609762853216e-01,nan,2.877326726913452148e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
3.860759735107421875e-02,nan,-5.461843185057793093e-01,nan,-1.825372654755722246e-01,nan,-1.958350243685425651e+00,nan,2.308936712253348289e-01,nan,2.956377267837524414e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
4.187989234924316406e-02,nan,-5.468843603439093037e-01,nan,1.124950869487417737e-02,nan,-1.957455359141321072e+00,nan,2.416177033871767521e-01,nan,2.836334466934204102e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
4.518246650695800781e-02,nan,-5.476390139425406645e-01,nan,-1.675543440693270103e-01,nan,-1.956129042500623472e+00,nan,3.911230390902233900e-01,nan,2.855828762054443359e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
4.846119880676269531e-02,nan,-5.488849876816184192e-01,nan,-3.819831581341933679e-01,nan,-1.954211566515766441e+00,nan,5.608147249386368216e-01,nan,2.909629821777343750e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
5.174255371093750000e-02,nan,-5.496180082260968547e-01,nan,-1.649484331404547643e-01,nan,-1.952885437128583090e+00,nan,4.188789955115038710e-01,nan,2.930366039276123047e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
5.501770973205566406e-02,nan,-5.503094714205123417e-01,nan,-1.541095505961571632e-01,nan,-1.951734951537668739e+00,nan,3.696747641063360956e-01,nan,2.929272890090942383e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
5.826687812805175781e-02,nan,-5.512741088113477517e-01,nan,-2.341150844552056798e-01,nan,-1.950184866947566542e+00,nan,4.422198183561775187e-01,nan,2.837767362594604492e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
6.151032447814941406e-02,nan,-5.523160905292745504e-01,nan,-2.617038635397996305e-01,nan,-1.948251474414007145e+00,nan,5.475674750803641855e-01,nan,2.746067285537719727e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
6.476879119873046875e-02,nan,-5.535130627187609953e-01,nan,-3.226972994765299751e-01,nan,-1.946254041178609562e+00,nan,5.835245502540163942e-01,nan,2.933779239654541016e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
6.801486015319824219e-02,nan,-5.547482679018362894e-01,nan,-2.845454643545703433e-01,nan,-1.944304732096347799e+00,nan,5.608147717520154396e-01,nan,2.956295967102050781e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
7.126545906066894531e-02,nan,-5.559454264983991756e-01,nan,-3.149209523172825098e-01,nan,-1.942147571613383583e+00,nan,6.806716733930630037e-01,nan,2.907775878906250000e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
7.454204559326171875e-02,nan,-5.570110142594275615e-01,nan,-3.855371299641473515e-01,nan,-1.939702789732690835e+00,nan,7.954815778807068360e-01,nan,2.689657449722290039e+00,2.899999999999999911e+00,2.899999999999999911e+00,nan,nan,nan,nan,nan,nan
