meas_time,shoulder_des_pos_store,shoulder_meas_pos,shoulder_des_vel_store,shoulder_meas_vel,elbow_des_pos_store,elbow_meas_pos,elbow_des_vel_store,elbow_meas_vel,elbow_des_tau_store,elbow_meas_tau,elbow_cmd_tau,elbow_clipped_tau,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store
1.289081573486328125e-02,-2.531542227721554194e-03,4.644129430065823544e-02,2.278795840330382488e-02,-3.067602704086328305e-02,1.239050346038288002e-02,4.793689962142628656e-05,-1.082794083853008960e-01,3.091116935713538946e-02,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.648923120027965983e-02,2.351423162721054893e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.131557464599609375e-02,-5.724573217806444049e-04,4.648674733537813686e-02,4.803047245339091276e-02,-2.689112603368695384e-02,3.215625328067153038e-03,0.000000000000000000e+00,-1.517868409101280069e-01,2.712624040822374585e-02,nan,-1.123572885990142822e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.648674733537813686e-02,2.351143745367914725e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.946996688842773438e-02,7.317604856980053883e-04,4.642127281128517746e-02,6.165356331794410311e-02,-3.868060413093028782e-02,-2.258133447458872747e-03,6.391586806674295874e-05,-1.545786977764572190e-01,3.785023453419562173e-02,nan,-2.149626240134239197e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.648518867935191867e-02,-8.303695967346658765e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.747344017028808594e-02,1.810145861248959719e-03,4.666154670211820898e-02,6.951593288082116850e-02,4.153242508706925934e-02,-6.105961148423143595e-03,-1.757686357549122040e-04,-1.289030422322283986e-01,-4.289526552570098461e-02,nan,-1.244400814175605774e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.648577806636329524e-02,-1.362840438631725054e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.559016227722167969e-02,2.643909329836600149e-03,4.711936364615524481e-02,7.157154850678344726e-02,4.953848611247193418e-02,-8.278946196632204144e-03,-6.231796950785417795e-04,-7.595548998042070399e-02,-4.983439214532054545e-02,nan,-1.526110619306564331e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.649618395107669999e-02,-2.959060328486102479e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.368280410766601562e-02,3.262309171792723405e-03,4.806778231277128444e-02,6.792483656049524976e-02,1.316444920863293622e-01,-8.859779531632664892e-03,-1.565938781921511922e-03,5.856351160529710276e-03,-1.324723698459356891e-01,nan,-6.355402618646621704e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.650184353084977490e-02,-8.278777596063141304e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.175613403320312500e-02,3.650613872162181920e-03,4.948805352640421595e-02,5.854538349349803356e-02,1.827841444097374479e-01,-7.811244744894698180e-03,-2.972087776528429658e-03,1.155483785788739837e-01,-1.804150860296451497e-01,nan,-6.087389960885047913e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.651596574987578586e-02,2.369058380092295153e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.990575790405273438e-02,3.811154356407796696e-03,5.094393582106324092e-02,4.347527935306615826e-02,1.251962036106283871e-01,-5.146661474861232224e-03,-4.442152576342329323e-03,2.529696479873293491e-01,-1.286874730812218037e-01,nan,-2.734324894845485687e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.650178324472090813e-02,-3.491269470593426176e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.801461219787597656e-02,3.743385966105456601e-03,5.024949456587870372e-02,2.246332339937453376e-02,-1.840221252454337653e-01,-8.148032953942622308e-04,-3.755057258921565624e-03,4.201409617187181755e-01,1.879863190704629261e-01,nan,-1.399176008999347687e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.649443730695713983e-02,3.964193825029157375e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.609294891357421875e-02,3.446888796650185872e-03,4.834800035188613343e-02,-4.203354599215398946e-03,-2.545655673856203061e-01,5.127981067293214609e-03,-1.885517990821180710e-03,6.146651400347171723e-01,2.510686691264065185e-01,nan,1.123002022504806519e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.646248236106495511e-02,-3.496898259213795847e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.420228004455566406e-02,2.924292808469652980e-03,4.495356024123491750e-02,-3.649520744871451866e-02,-3.402426312598652580e-01,1.267023988963540508e-02,1.533980787885641170e-03,8.365194740215545766e-01,3.532623212850717342e-01,nan,4.109559953212738037e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.648754102912056041e-02,1.301969002520650225e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.025536060333251953e-01,2.171633193077536234e-03,4.465822197624787215e-02,-7.465610263427180371e-02,1.398025894088450460e-02,2.186897060490422540e-02,3.275688262707302650e-03,1.087377880925720630e+00,3.015347551500269230e-01,nan,3.822849094867706299e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.793391023895517827e-02,3.155150140909114276e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.076052188873291016e-01,1.156186344713258391e-03,4.221482232412313712e-02,-1.200364839077872059e-01,-2.236136410657779683e-01,3.306257483080150827e-02,7.158576766313312113e-03,1.375607658604959704e+00,5.854058394972646573e-01,nan,5.511080622673034668e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.937339909043644837e-02,3.617921984314866890e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.121790409088134766e-01,4.398232934502426146e-04,4.130873441113176031e-02,-1.498155428608226036e-01,-2.340166660887650352e-01,4.051370333527354317e-02,1.011468582012094684e-02,1.560556225585594481e+00,7.311262433255635296e-01,nan,6.622217297554016113e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.142342023125270889e-02,4.971095772367984944e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.167180538177490234e-01,-2.981097936720698664e-04,4.025748691362170811e-02,-1.792489234160668521e-01,-2.706607983326574374e-01,4.794153960190156161e-02,1.433313298680645963e-02,1.740853897335687073e+00,9.222658764642144291e-01,nan,8.313528299331665039e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.459061990042816948e-02,6.516050781315569917e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.212415695190429688e-01,-1.102824215236805887e-03,3.907893036176052215e-02,-2.102867717556988758e-01,-2.053782956872732823e-01,5.583043909200972876e-02,1.869539085235625078e-02,1.928754975128111893e+00,9.992266026445157934e-01,nan,6.241784691810607910e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.777432121411677640e-02,7.938483069572425110e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.261045932769775391e-01,-1.975674425877485801e-03,3.760762630374999554e-02,-2.429976290316948617e-01,-4.208756755716556164e-01,6.419692922332398410e-02,2.473544020465596321e-02,2.124709810706716606e+00,1.319685619254564291e+00,nan,7.455415129661560059e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.234306650840595876e-02,8.988099436829086741e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.306116580963134766e-01,-2.995158422637394634e-03,3.677105818119970337e-02,-2.802253296261960624e-01,-3.129691111513903667e-01,7.377390778968979934e-02,3.163835375014134588e-02,2.345535444336284581e+00,1.455313152297140089e+00,nan,7.848471403121948242e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.840941193134104925e-02,1.142344041145749722e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.350619792938232422e-01,-4.011793321534076751e-03,3.436413923791988012e-02,-3.165162314385521203e-01,-4.461619282299564837e-01,8.315811879386909855e-02,3.916444699070527335e-02,2.558893462526839802e+00,1.773879691266470049e+00,nan,7.678229808807373047e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.352858622862515348e-02,1.327717763036513565e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.396212577819824219e-01,-5.085068560816870253e-03,3.306555652873561374e-02,-3.541004690306133185e-01,-4.271224111916807065e-01,9.291992581149878527e-02,4.776113001420233956e-02,2.778145112209553513e+00,1.905090662924393774e+00,nan,9.452500343322753906e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.082668654293795329e-02,1.477968251732713068e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.441018581390380859e-01,-6.257380449387631161e-03,3.047334964574502369e-02,-3.944494242739333134e-01,-4.703734871974911691e-01,1.034422939095185207e-01,5.723665814798298279e-02,3.011842121830017316e+00,2.125248739083388294e+00,nan,8.664010763168334961e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.771000779372800649e-02,1.654875251885897125e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.486494541168212891e-01,-7.479437712170841634e-03,2.873223807979541355e-02,-4.358594951893123293e-01,-5.413537959473697647e-01,1.142813857824088591e-01,6.802246056280390751e-02,3.250100165381375472e+00,2.369375265053095703e+00,nan,9.983685016632080078e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.675469864259932107e-02,1.828021469105725938e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
