shoulder_des_pos,shoulder_des_vel,shoulder_des_acc,shoulder_des_jerk,shoulder_des_tau,elbow_des_pos,elbow_des_vel,elbow_des_acc,elbow_des_jerk,elbow_des_tau,elbow_des_tau_tvlqr,des_time,shoulder_meas_pos,shoulder_meas_vel,elbow_meas_pos,elbow_meas_vel,elbow_meas_tau,meas_time,k1,k2,k3,k4,k0
-4.708737457574298726e-12,-7.316754139739528606e-11,0.000000000000000000e+00,1.770307778987753409e+04,0.000000000000000000e+00,-2.670537472279181433e-12,-1.379755653987548384e-10,0.000000000000000000e+00,-5.050894643600967538e+04,1.939364376447903468e-10,9.628096606489060683e-05,0.000000000000000000e+00,8.925804361945011145e-05,1.928058721238753992e-02,-1.597896615950718019e-04,-1.955879047355893810e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.206547880940828765e-01,-7.743799932411624121e-02,6.806151619334359706e-03,9.172248955294809436e-01,3.967245658190367980e-04
3.653423749117849393e-04,5.344143595030443478e-02,4.372434509493208665e+00,-8.961745678761984891e+03,0.000000000000000000e+00,-9.555360823530106894e-04,-1.405992326469334974e-01,-1.237039965306437317e+01,2.577815367515992693e+04,2.380018639578017695e-02,2.555953199817638521e-02,1.000404618864253990e-03,7.106581737560679901e-05,4.140852024949098764e-03,-1.438106988642788597e-04,-4.419000800549367433e-03,-2.184363082051277161e-02,1.350808143615722656e-02,-3.193482312514894228e-01,-7.749477506956724271e-02,6.846992826864867904e-03,9.172351019340385658e-01,3.447868837551324177e-04
1.107676776207239472e-03,8.661112956769290161e-02,4.299594359142155930e+00,-7.447310387047875224e+01,0.000000000000000000e+00,-2.760953415634796564e-03,-2.086020735523812508e-01,-1.202622641806744852e+01,3.575340716019723004e+02,4.271952184210010134e-02,4.510024317922418230e-02,2.000809237728507980e-03,2.033261877143754948e-04,4.637502170097341364e-02,-3.355582973499840059e-04,-5.677739549785017215e-02,-8.562869578599929810e-02,2.424597740173339844e-02,-3.180392838160625013e-01,-7.755395282626323383e-02,6.886454521157204384e-03,9.172447663597625978e-01,1.707723434959829297e-04
2.159490049400827633e-03,1.116483756826914392e-01,4.226868824057519625e+00,-7.438397864159067296e+01,0.000000000000000000e+00,-5.082406615559931402e-03,-2.387662127628102648e-01,-1.168275341291220393e+01,3.571950792123931251e+02,6.160441117746270900e-02,6.398648641447481078e-02,3.001213856592761537e-03,2.471138652610366249e-04,2.941676986596962820e-02,-7.030745430196488161e-04,-5.740821162530248406e-02,-1.784768700599670410e-01,3.496432304382324219e-02,-3.167276813193961038e-01,-7.761546325762876120e-02,6.924207046174560634e-03,9.172537692952803523e-01,1.968100149255856235e-05
3.439336719644052985e-03,1.287498584840242044e-01,4.154257897406630207e+00,-7.429570191511920996e+01,0.000000000000000000e+00,-7.548566696890779068e-03,-2.321390925064695243e-01,-1.133998034785024878e+01,3.568771377312806408e+02,8.047165739962069964e-02,8.223762491637387484e-02,4.001618475457015961e-03,2.562006462464155865e-04,3.955874567514561235e-03,-1.198422490535657218e-03,-4.100685772307897242e-02,-1.398858129978179932e-01,4.567265510559082031e-02,-3.154134960312516833e-01,-7.767909441844485230e-02,6.960158638627510393e-03,9.172621420761188915e-01,-1.209496749700176053e-04
4.930211924737106649e-03,1.383115074805397471e-01,4.081761571894578111e+00,-7.420831651865820788e+01,0.000000000000000000e+00,-9.876037670965327406e-03,-1.870256768572880479e-01,-1.099790689837312385e+01,3.565821239297940224e+02,1.001454475590856236e-01,1.006116594255661578e-01,5.002023094321269951e-03,2.775978470488105199e-04,-5.551076689006548270e-03,-1.358212186417871508e-03,-3.788245384197340155e-03,-7.434123009443283081e-02,5.683875083923339844e-02,-3.140968772669645026e-01,-7.774447380193898194e-02,6.994096250586178537e-03,9.172700896854456554e-01,-2.501644636045910084e-04
6.438937998463567514e-03,1.396744122069479566e-01,4.009379839724442007e+00,-7.412186821125362712e+01,0.000000000000000000e+00,-1.150022999851379318e-02,-1.071888386885849059e-01,-1.065653269983874019e+01,3.563121445406159182e+02,1.191752628575624834e-01,1.177457868268711599e-01,6.002427713185523941e-03,2.288946414108483651e-04,7.786461189680132441e-03,-1.150485590914230877e-03,1.324400803180901011e-02,-5.597535520792007446e-02,6.763935089111328125e-02,-3.127779199599063364e-01,-7.781146522114948394e-02,7.026075840003247197e-03,9.172775481538131270e-01,-3.684722092871316841e-04
7.928205327974431268e-03,1.334356927991720843e-01,3.937112692553315973e+00,-7.403640593866313679e+01,0.000000000000000000e+00,-1.212319485962260086e-02,7.260050441981150127e-03,-1.031585734106886854e+01,3.560695726010173416e+02,1.364386010581950248e-01,1.338423183565312646e-01,7.002832332049777932e-03,5.732249516405413248e-05,2.722265776280628075e-03,-7.350324456231397807e-04,2.522960515432393427e-02,-4.655220545828342438e-03,7.843255996704101562e-02,-3.114566961094030750e-01,-7.788005026476962911e-02,7.056254833040900669e-03,9.172843493660282066e-01,-4.773801067985061417e-04
9.343173187237192520e-03,1.193823474060284051e-01,3.864960121443698604e+00,-7.395198211528754939e+01,0.000000000000000000e+00,-1.133390845889141116e-02,1.588943152524123215e-01,-9.975880356680836059e+00,3.558570909121962700e+02,1.611547198859047680e-01,1.585692992544037172e-01,8.003236950914031922e-03,-3.259445284763823336e-05,1.866755600758990968e-02,-1.917475984857051462e-04,2.207546307450302531e-02,4.977111890912055969e-02,8.944892883300781250e-02,-3.101333571533492206e-01,-7.794991862084402201e-02,7.084445661909392726e-03,9.172906764214655562e-01,-5.767494100071949605e-04
1.067448846425964396e-02,9.471751602696987238e-02,3.792922116809564148e+00,-7.386865293766969387e+01,0.000000000000000000e+00,-8.146505951308197213e-03,3.688940741831396863e-01,-9.636601217851039181e+00,3.556777443025966363e+02,1.831398615161826948e-01,1.805709044892134796e-01,9.003641569778286780e-03,-2.907960357613620372e-04,-2.668665745224188535e-02,9.267800898250348751e-04,1.185915477225493730e-01,2.409424483776092529e-01,1.017944812774658203e-01,-3.088080214319007810e-01,-7.802087001590700399e-02,7.110608478744177147e-03,9.172965647981891069e-01,-6.658392961626941877e-04
