meas_time,shoulder_des_pos_store,shoulder_meas_pos,shoulder_des_vel_store,shoulder_meas_vel,elbow_des_pos_store,elbow_meas_pos,elbow_des_vel_store,elbow_meas_vel,elbow_des_tau_store,elbow_meas_tau,elbow_cmd_tau,elbow_clipped_tau,raw_imu_pos,raw_imu_vel,k1_store,k2_store,k3_store,k4_store
1.247835159301757812e-02,-1.362547815580464469e-03,5.030334912491079419e-02,-5.952972092476243844e-04,-3.478802066602991461e-02,5.951626320725720079e-03,-1.597896701668573968e-05,-3.833642857109781973e-03,3.343121252133410964e-02,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.028737015789410542e-02,-1.356808144695802795e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.060031890869140625e-02,-2.625791562860858332e-04,5.031467363767303663e-02,4.195901271565233293e-02,-2.004090855291846759e-02,1.485181420501954785e-03,-3.195793403337147937e-05,-1.189604094433566878e-01,2.081474806923409165e-02,nan,3.347555175423622131e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.028271570363966603e-02,7.738395163156242765e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.851366996765136719e-02,6.849287368213268379e-04,5.037597650743581845e-02,7.261917344121793239e-02,2.338816996074407836e-02,-1.906493564848291827e-03,-7.989483079753590094e-05,-1.972093928364077875e-01,-2.208126500760539818e-02,nan,-3.764763101935386658e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.029608167663827956e-02,1.306904953138678886e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.626871109008789062e-02,1.703909619307944099e-03,5.040215881163517819e-02,1.007394433752280827e-01,-3.038320075940979803e-03,-5.185200946493721125e-03,-1.597896615950718019e-04,-2.644292194497627757e-01,-6.310676762160462652e-03,nan,-2.721663936972618103e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.024236915004010734e-02,-9.348996838101442455e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.406619071960449219e-02,2.769656766942218615e-03,5.046461789712686219e-02,1.257717611054206264e-01,3.110420425851226703e-02,-8.281609266937613179e-03,-4.633900449125174376e-04,-3.194567411152815506e-01,-5.803826703535358567e-02,nan,-1.617988944053649902e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000122785221434302e-02,-2.693406277684131864e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.196118354797363281e-02,3.910440338223081756e-03,5.084434800366281759e-02,1.484723120744945724e-01,8.574922487673874993e-02,-1.128485971143466764e-02,-1.358212186417871508e-03,-3.640732368368265193e-01,-1.457229551574290849e-01,nan,-1.880621612071990967e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.948613581724494587e-02,-5.997373028069032802e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.846452713012695312e-02,5.135196149952793096e-03,5.260996333812568287e-02,1.689086746202852485e-01,3.007217721721178738e-01,-1.421009876326724368e-02,-3.850931058164418306e-03,-3.982435591162931665e-01,-3.942679852669980223e-01,nan,-2.423848360776901245e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.875903227996126327e-02,-9.354621309488013459e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.387305259704589844e-02,6.187393733880421076e-03,5.535670982255284228e-02,1.836954479886819813e-01,5.480969364722072523e-01,-1.651265018643349736e-02,-7.238471842835369000e-03,-4.179336696726380085e-01,-6.661532530540089647e-01,nan,-1.250324696302413940e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.811823797971747502e-02,-1.180563165818017679e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.926631927490234375e-02,7.106437375010469029e-03,5.767522511089787085e-02,1.947839001873413189e-01,3.820474547491673478e-01,-1.838495646264245997e-02,-1.068992861557806207e-02,-4.287570774847788146e-01,-5.576511704438938954e-01,nan,-9.770943969488143921e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.698529649531980878e-02,-1.756037156947265754e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.457542419433593750e-02,8.055143310413641691e-03,5.779051949941547972e-02,2.046364250975994392e-01,-3.976750213449953275e-03,-2.019655969612440399e-02,-1.239967754776957233e-02,-4.343687739919328550e-01,-3.602035047675107848e-01,nan,-2.113703191280364990e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.539084195164590912e-02,-3.641802549809607381e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
