time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,shoulder_torque,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque,elbow_torque_tvlqr,K1,K2,K3,K4,k0
0.000000000000000000e+00,-6.315619999999999568e-01,-6.336429999999999563e-01,0.000000000000000000e+00,1.007931441508198623e+05,0.000000000000000000e+00,-1.872708999999999957e+00,1.456501999999999963e+00,0.000000000000000000e+00,7.574496911538280256e+04,1.845663334109580638e-16,9.340027349008218037e-04,5.519635004977558879e-01,1.027466799777186912e+00,-5.414199710524266601e-02,4.388799795283672700e-01,-9.340027349006372725e-04
1.000751378869485725e-03,-6.321831001684405926e-01,-6.084082294417183512e-01,2.521303276827016759e+01,-4.658941065256004599e+00,0.000000000000000000e+00,-1.871243437694364076e+00,1.475400880838469542e+00,1.875313269913101877e+01,-2.592075794802881319e+02,-2.698846853836065190e-03,-1.746159485931867393e-03,5.479454768566640599e-01,1.027017459489445228e+00,-5.422560382866536965e-02,4.388984980380895018e-01,-9.834476206620462041e-04
2.001502757738971450e-03,-6.327781968552813607e-01,-5.831790447650400111e-01,2.520699238441591561e+01,-5.574732152194743051e+00,0.000000000000000000e+00,-1.869761999568490429e+00,1.494038268483449894e+00,1.849361903283245212e+01,-2.557407917859384554e+02,-5.397693707672312526e-03,-4.441070593585433497e-03,5.438962889963837588e-01,1.026569514975719244e+00,-5.430123942351330196e-02,4.389172489579242220e-01,-1.015299296353218547e-03
3.002254136608457392e-03,-6.333473416506831821e-01,-5.579563638316079599e-01,2.520003481130061473e+01,-6.490422681215704870e+00,0.000000000000000000e+00,-1.868264769654454760e+00,1.512417707821973600e+00,1.823764776393587894e+01,-2.522750350527599892e+02,-8.096540561508562897e-03,-7.135981701239000469e-03,5.398131270764872092e-01,1.026120928888369921e+00,-5.436915653825728778e-02,4.389357461943295680e-01,-1.046693431016639496e-03
4.003005515477942901e-03,-6.338905861448075330e-01,-5.327411045030643333e-01,2.519216004889640104e+01,-7.406012484594894474e+00,0.000000000000000000e+00,-1.866751831984331922e+00,1.530542743741073686e+00,1.798521889254218564e+01,-2.488103094886309634e+02,-1.079538741534481414e-02,-9.830336200148731204e-03,5.356958884709867030e-01,1.025671748468175215e+00,-5.442986494097788036e-02,4.389540163321857813e-01,-1.076757281084317081e-03
5.003756894347428409e-03,-6.344079819278152232e-01,-5.075341846410523772e-01,2.518336809717169444e+01,-8.321501361404123998e+00,0.000000000000000000e+00,-1.865223270590196325e+00,1.548416921127782730e+00,1.773633241855225862e+01,-2.453466140627737389e+02,-1.349423426918106017e-02,-1.252463044892565026e-02,5.315447657417888827e-01,1.025221922331436941e+00,-5.448350284331220095e-02,4.389720819253854489e-01,-1.105475093463073946e-03
6.004508273216914785e-03,-6.348995805898675071e-01,-4.823365221072145048e-01,2.517365895609156823e+01,-9.236889096521922582e+00,0.000000000000000000e+00,-1.863679169504123490e+00,1.566043784869134425e+00,1.749098834165183547e+01,-2.418839464416218163e+02,-1.619308112301731314e-02,-1.521892469770257106e-02,5.273599514508009456e-01,1.024771399094455360e+00,-5.453020845689737078e-02,4.389899655278206025e-01,-1.132831115059733818e-03
7.005259652086400293e-03,-6.353654337211254166e-01,-4.571490347631935736e-01,2.516303262561709531e+01,-1.015217544707374486e+01,0.000000000000000000e+00,-1.862119612758188048e+00,1.583426879852160907e+00,1.724918666129726574e+01,-2.384223028713685153e+02,-1.889192797685355918e-02,-1.791321894647949012e-02,5.231417650608367609e-01,1.024320131723155614e+00,-5.457004320487875842e-02,4.390076728445025389e-01,-1.158793717163029676e-03
8.006011030955885802e-03,-6.358055929117504279e-01,-4.319726404706320522e-01,2.515148910570554364e+01,-1.106736015226321612e+01,0.000000000000000000e+00,-1.860544684384464853e+00,1.600569750963895421e+00,1.701092737670082045e+01,-2.349616781050145846e+02,-2.159077483068981215e-02,-2.060793744786829085e-02,5.188908618409754370e-01,1.023868021222064773e+00,-5.460280310648319563e-02,4.390251495032143625e-01,-1.183291667513506219e-03
9.006762409825371310e-03,-6.362201097519033510e-01,-4.068082570911729645e-01,2.513902839631042596e+01,-1.198244292402636013e+01,0.000000000000000000e+00,-1.858954468415028316e+00,1.617475943091371438e+00,1.677621048681283256e+01,-2.315020653032404141e+02,-2.428962168452604778e-02,-2.330267256752451346e-02,5.146074579417098116e-01,1.023414986204791433e+00,-5.462857737263497604e-02,4.390424084155200579e-01,-1.206341687413505772e-03
